File Extension,Tool,Category,Sub-Category,Type,Useful Switches,Tool Description,Linkage,Require Install?
-,libfvde,Forensics,Mac Forensics,CLI,,"Library and tools for reading FileVault2 Drive Encryption (FVDE) encrypted volumes. The FVDE format is used by MacOS-X, as of Lion, to encrypt data on a storage media volume.",https://code.google.com/p/libfvde/,
-,libvshadow,Forensics,Volume Shadow Copies,CLI,,Linux based library and tools to support the Volume Service Snapshot (VSS) format.,https://code.google.com/p/libvshadow/,
-,LiMe,Memory,Memory Analysis,CLI,,"LiME (formerly DMD) is a Loadable Kernel Module (LKM), which allows the acquisition of volatile memory from Linux and Linux-based devices, such as those powered by Android.",https://code.google.com/p/lime-forensics/,
-,listdlls,Malware,PE Analysis,CLI,listdlls -u = searched for unsigned DLLS in an image,A utility that reports the DLLs loaded into processes.,http://technet.microsoft.com/en-us/sysinternals/bb896656.aspx,
001,LiveView,Forensics,Disk Analysis,GUI,,Live View is a Java-based graphical forensics tool that creates a VMware virtual machine out of a raw (dd-style) disk image or physical disk.,http://liveview.sourceforge.net,
lnk,lnkanalyser,Forensics,File Analysis,,,Windows LNK parser,http://www.woanware.co.uk/?page_id=121,
-,LockMaster,Forensics,Mac Forensics,,,This utility is used to concurrently lock and unlock multiple files on a Mac.,https://www.blackbagtech.com/resources/freetools.html,
log,Log Parser,Forensics,Log Analysis,CLI,,"A powerful, versatile tool that provides universal query access to text-based data such as log files, XML files and CSV files, as well as key data sources on the Windows operating system such as the Event Log, the Registry, the file system, and Active Directory.",https://www.microsoft.com/en-us/download/details.aspx?id=24659,Yes
log,Log Parser Lizard,Forensics,Log Analysis,GUI,,GUI for MS Logparser (requires ms Log Parser 2.2+ & .net 3.5),http://www.lizard-labs.net/log_parser_lizard.aspx,Yes
log,Log Parser Studio,Forensics,Log Analysis,GUI,,"A utility that allows you to search through and create reports from your IIS, Event, EXADB and others types of logs.",http://gallery.technet.microsoft.com/Log-Parser-Studio-cd458765,
,log2timeline,Forensics,Timeline Creating,CLI,,A framework for automatic creation of a super timeline.,https://code.google.com/p/log2timeline/,
-,log2timeline GUI,Forensics,Timeline Creating,GUI,,,https://code.google.com/p/l2t-tools/,
-,LogAnalyzer,Forensics,Log Analysis,GUI,,"Syslog, Windows events, web urls etc.",http://loganalyzer.adiscon.com/,
-,logstash,Forensics,Log Analysis,GUI,,Logstash is a tool for managing events and logs.,http://logstash.net/,
exe,LordPE,File Analysis,File Identification,GUI,,"A tool for system programmers which is able to edit/view many parts of PE (Portable Executable) files, dump them from memory, optimize them, validate, analyze, edit, fix its import table etc.",http://www.woodmann.com/collaborative/tools/index.php/LordPE,
lnk,lp,Forensics,Link File Analysis,CLI,,Tool to analyze link file metadata,,
-,Mac Memoryze,Memory,Mac Forensics,Both,,A free memory forensic software that helps incident responders find evil in memory on Macs,http://www.mandiant.com/resources/download/mac-memoryze-1.0trade,
-,macho_dump,Malware,File Analysis,CLI,,Mach-O analyzer,http://www.opensource.apple.com/source/llvmCore/llvmCore-3418.0.78/tools/macho-dump/macho-dump.cpp,
-,MacMemoryReader,Memory,Mac Forensics,CLI,-,Mac Memory Reader is a simple command-line utility to capture the contents of physical RAM.  It executes directly on 32- and 64-bit target machines running Mac OS X 10.4 through 10.7 and requires a PowerPC G4 or newer or any Intel processor.,http://cybermarshal.com/index.php/cyber-marshal-utilities/mac-memory-reader,
,mactime,Forensics,Timeline Creating,CLI,-,Generates a timeline based on processing the bodyfile produced by ils and/or fls.,,
pdf,make-pdf-javascript.py,,PDF,CLI,,"Allows one to create a simple PDF document with embedded JavaScript that will execute upon opening of the PDF document. It’s essentially glue-code for the mPDF.py module which contains a class with methods to create headers, indirect objects, stream objects, trailers and XREFs.",http://blog.didierstevens.com/programs/pdf-tools/,
,MalHost-Setup,File Analysis,Microsoft Office,,,Extracts shellcode from a given offset in an MS Office file and embeds it an EXE file for further analysis.  Part of OfficeMalScanner.,http://www.reconstructer.org/code.html,
pdf,malpdfobj,File Analysis,PDF,CLI,,Builds json representation of PDF,https://github.com/9b/malpdfobj,
exe,Malware Classifier,Malware,PE Analysis,CLI,,Tool which allows you to quickly and easily determine if a binary file contains malware,http://sourceforge.net/projects/malclassifier.adobe/files/,
dll,Malware Classifier,Malware,PE Analysis,CLI,,Tool which allows you to quickly and easily determine if a binary file contains malware,http://sourceforge.net/projects/malclassifier.adobe/files/,
-,Malware Domain List,Online Help,Website Inspection,-,,,http://www.malwaredomainlist.com/mdl.php,
-,malwarehouse,Malware,File Classification,CLI,,"Malwarehouse is a warehouse for your malware. It's a single place to put all malware samples, store them, search for them.",https://github.com/sroberts/malwarehouse,
"pdf, dll, exe, php, js",malwr,Online Help,File Analysis,-,http://malwr.com/search.php?md5=,Online Cuckoo sandbox for PDF/DLL/EXE/PHP/PERL files,http://malwr.com/,
js,Malzilla,File Analysis,JavaScript,GUI,,"Can extract and decompress zlib streams from PDFs, and can help deobfuscate JavaScript.",http://www.malzilla.org/,
-,Mandian Web historian,Internet Browser,-,GUI,,"Tool that helps users review the list of websites (URLs) that are stored in the history files of the most commonly used browsers, including: Internet Explorer, Firefox and Chrome.",http://www.mandiant.com/resources/download/web-historian,
-,Mandiant IOCe.exe,Malware,File Identification,GUI,,A free editor for Indicators of Compromise (IOCs).,http://www.mandiant.com/resources/download/ioc-editor/,Yes
-,Mandiant WebHistorian,Forensics,Internet History,GUI,,"Helps users review the list of websites (URLs) that are stored in the history files of the most commonly used browsers, including: Internet Explorer, Firefox and Chrome",http://www.mandiant.com/resources/download/web-historian,
-,mandiant_ioc_finder.exe,Malware,Filesystem Analysis,CLI,"mandiant_ioc_finder.exe collect
mandiant_ioc_finder.exe report -t html -i <path/to/IOCs>",A free tool for collecting host system data and reporting the presence of Indicators of Compromise (IOCs).,http://www.mandiant.com/resources/download/ioc-finder/,
-,mbr.exe,Malware,Rootkit Analysis,,,,,
-,mbr_parser.py,Forensics,Filesystem Analysis,CLI,,A script I wrote that parses the MBR as well as hashes and disassembles the bootcode,https://raw.github.com/gleeda/misc-scripts/master/misc_python/mbr_parser.py,
-,McAfee Internal Hash DB,File Analysis,Anti-Virus,,,,http://beaav1webwf1.corp.nai.org/hashinfo/hashinfo.aspx?md5=,
-,McAfee Rootkit Remover,Malware,Rootkit Analysis,,,McAfee's rootkit remover (updated regularly),http://downloadcenter.mcafee.com/products/mcafee-avert/,
-,McAfee Threat Intelligence,Online Help,Website Inspection,-,,,http://www.mcafee.com/us/mcafee-labs/threat-intelligence.aspx,
-,md5deep,Cryptography,Obfuscation/Encryption,CLI,,A suite of hashing utilities designed to recurse through a set of inout files or directories and produce hash lists.,http://hashdeep.com/,
-,md5sum,Cryptography,Obfuscation/Encryption,CLI,,,,
"dd, dmp",MemGator,Memory,Memory Analysis,GUI,, MemGator is a memory file analysis tool that automates the extraction of data from a memory file and compiles a HTML report for the investigator. MemGator brings together a number of memory analysis tools such as the Volatility Framework and AESKeyFinder into the one program.,http://www.orionforensics.com/MemGator.html,
-,mft.pl,Forensics,Filesystem Analysis,CLI,,,,
-,MHR Lookup,Online Help,Anti-Virus,-,,The HTTP/HTTPS interface to WebMHR acts as a web-based proxy to the underlying WHOIS service. ,https://hash.cymru.com/,
-,MIDAS,File Analysis,Metadata,CLI,,Tool that automates the inspection and databasing of all Meta data information contained within all files destined for an organization (generally via dumping the files which are attached to emails through the use of YARA,https://github.com/Xen0ph0n/MIDAS,
-,mimikatz,Pentest,Password Cracking,CLI,"privilege::debug
inject::process lsass.exe sekurlsa.dll
@getLogonPasswords",Tool that allows you to dump clear-text passwords from LSASS,http://blog.gentilkiwi.com/mimikatz,
"docx, pptx, xlsx",MiTeC Structured Storage Viewer,Forensics,Microsoft Office,GUI,,"This tool allows to completely manage any MS OLE Structured Storage based file. You can save and load streams, add, delete, rename and edit items and property sets.",http://www.mitec.cz/ssv.html,
"db, fpt, dat, lnk, INFO2",MiTeC Windows File Analyzer,Forensics,File Analysis,GUI,,Decodes and analyzes some special files used by Windows OS.,http://www.mitec.cz/wfa.html,
,mmls,Forensics,Partition Indentification/Recovery,CLI,,,,
vmdk,Mount Image Pro,Forensics,Virtual Machine Analysis,GUI,,Forensics disk/file mounting utility (shareware),http://www.mountimage.com/,
E01,MountEWF.py,Forensics,Disk Analysis,,,A program that presents an Expert Witness Format forensic image as a raw image.,,
,MozillaCacheView,Internet Browser,Mozilla Firefox,,,Extracts the details of all cache files stored by Mozilla Firefox. ,http://www.nirsoft.net/utils/mozilla_cache_viewer.html,
sqlite,MozillaCookies,Internet Browser,Mozilla Firefox,,,Extracts the content of all cookie files stored by Mozilla Firefox.,http://www.nirsoft.net/utils/mzcv.html,
dat,MozillaHistoryView,Internet Browser,Mozilla Firefox,,,Extracts the details of all browsing history stored by Mozilla Firefox.,http://www.nirsoft.net/utils/mozilla_history_view.html,
pcap,naft-gfe,Forensics,PCAP Analysis,CLI,,"Generic Frame Extraction and is a tool to extract network packets from memory dumps, of whatever device, via pattern recognition (part of NAFT)",,
,NetCat,,,CLI,,,,
pcap,Netwitness Investigator,Network,PCAP Analysis,GUI,,An interactive threat analysis application of the NetWitness enterprise network monitoring platform.,http://netwitness.com/products-services/investigator,
pcap,Networkminer,Network,PCAP Analysis,GUI,,,http://www.netresec.com/?page=NetworkMiner,
pcap,ngrep,Network,,CLI,,"Queries several passive DNS databases; DNSParse, ISC, BFK.de, and CERTEE; to return previously seen resource records (DNS answers). This is useful to security experts who wish to trace the relationships of domains and IP addresses over time. ",http://code.google.com/p/passive-dns-query-tool/,
-,Nigilant32,Forensics,Forensic Suite,GUI,,"Tool to create a report snapshot of critical live-system processes, services, accounts, tasks, ports, and so on, as well as file-system review tool and active memory imaging support.",http://www.agileriskmanagement.com/publications_4.html,
-,NORMAN  sandbox,Online Help,File Analysis,-,,Automated Analysis System,http://www.norman.com/security_center/security_tools/,
-,Notepad++,Forensics,Log Analysis,GUI,,All inclusive text editor.,http://notepad-plus-plus.org/,
-,novirusthanks,Online Help,Anti-Virus,-,,Multi-Engine Antivirus Scanner,http://vscan.novirusthanks.org/,
-,NSRLookup,Online Help,File Analysis,-,md5deep -r * | nsrllookup -s nsrl.kyr.us,NSRL online lookup (nsrl.kyr.us),http://nsrlquery.sourceforge.net/,
-,nsrlquery,File Identification,Fuzzy Hashing,CLI,,A crossplatform Python script that queries a nsrlsvr. Feed it a list of SHA-1 hashes and nsrlquery will split them into known-good hashes and unknown hashes.,http://sourceforge.net/p/nsrlquery/wiki/Home/,
$I*,ntfscopy,Forensics,Windows Special Files,CLI,,ntfscopy' is a prototype tool that can copy any file (or alternate data stream) from a NTFS partition. This can be from either from a live system or from an imaged NTFS partition. ,http://tzworks.net/prototype_page.php?proto_id=9,
$I*,ntfswalk,Forensics,Filesystem Analysis,,,"'ntfswalk' is a prototype version of a tool that traverses a specified NTFS volume reading all MFT entries, pulling predefined statistics.",http://tzworks.net/prototype_page.php?proto_id=12,
,objdump,Dissasemble,,,,Disassemble code,http://sourceware.org/binutils/docs/binutils/objdump.html,
-,Octopussy,Forensics,Log Analysis,GUI,,"Logs Analyzer, Alerter & Reporter with a Web Interface that runs on *nix",http://sourceforge.net/projects/syslog-analyzer/,
,Office Binary Translator,File Analysis,Microsoft Office,,,"converts DOC, PPT, and XLS files into Open XML files (includes BiffView tool).",http://b2xtranslator.sourceforge.net/,
,Office metadata Parser,Forensics,Microsoft Office,,,Parse Microsoft office documents and report on it.,http://redwolfcomputerforensics.com/index.php?option=com_content&task=view&id=42&Itemid=55,
,officecat,File Analysis,Microsoft Office,,,Scans MS Office files for embedded exploits that target several known vulnerabilities.,http://www.snort.org/vrt/vrt-resources/officecat,
"doc, xls, ppt",OfficeMalScanner,File Analysis,Microsoft Office,,,Locates shellcode and VBA macros from MS Office files.,http://www.reconstructer.org/code.html,
,offvis,File Analysis,Microsoft Office,,,"Shows raw contents and structure of an MS Office file, and identifies some common exploits.  Part of OfficeMalScanner.",http://www.microsoft.com/download/en/details.aspx?id=2096,
-,OllyDbg,Debug,Reverse Engineering,GUI,,,http://www.ollydbg.de/,
pdf,Origami,File Analysis,JavaScript,-,,,http://esec-lab.sogeti.com/pages/Origami,
-,OSFClone,Forensics,Disk Imaging,CLI,,Self-booting solution which enables you to create or clone exact raw disk images,http://www.osforensics.com/tools/create-disk-images.html,
"img, dd, iso, bin, nrg, sdi, aff, afm, E01, S01, 001",OSFMount,Forensics,Disk Analysis,GUI,,Allows you to create a ramdisk on Windows as well as mount images.,http://www.osforensics.com/tools/mount-disk-images.html,
vmdk,OSFMount,Forensics,Virtual Machine Analysis,GUI,,Allows you to create a ramdisk on Windows as well as mount images.,http://www.osforensics.com/tools/mount-disk-images.html,
-,OSForensics,Forensics,,GUI,,,http://www.osforensics.com/download.html,
sys,OSRloader,Malware,PE Analysis,GUI,,GUI-based tool for installing/starting your driver during development process,http://www.osronline.com/section.cfm?section=27,
plist,Oxygen Forensic Plist Viewer,Forensics,Mac Forensics,,,Property List XML file viewer ( Trial requires registration),http://oxygen-forensic.com/en/download/,
,Parse_Prefetch,Forensics,Prefetch,Both,,Parse the prefetch files and display information,http://redwolfcomputerforensics.com/index.php?option=com_content&task=view&id=42&Itemid=55,
dat,pasco,Forensics,Internet Explorer,CLI,,Tool to analyze Internet Explorer Cache,www.mcafee.com/us/downloads/free-tools/pasco.aspx,
-,Passive DNS lookyp,Online Help,Network Monitoring,,,,http://www.bfk.de/bfk_dnslogger.html,
zip,patator,Forensics,Password Cracking,CLI,unzip_pass zipfile=<file.zip> password=FILE0 0=<wordlist.dic> -x ignore:code!=0 ,"Patator is a multi-purpose brute-forcer, with a modular design and a flexible usage.",https://code.google.com/p/patator/,
pdb,PdbXtract,Forensics,File Analysis,GUI,,Tool that allows you to browse and search Microsoft  PDB files.,http://www.mandiant.com/resources/download/pdbxtract,
pdf,PDF Examiner,Online Help,File Analysis,-,,,http://www.malwaretracker.com/pdfexaminer.php,
pdf,PDF Stream Dumper,File Analysis,PDF,GUI,,,http://sandsprite.com/blogs/index.php?uid=7&pid=57,Yes
pdf,pdf.py,File Analysis,PDF,,,Extract JavaScript or SWFs from PDFs,http://securitybananas.com/?p=455,
pdf,pdf2graph,File Analysis,PDF,CLI,,Generates a DOT or GraphML file out of a document.,http://code.google.com/p/origami-pdf/,
pdf,pdfcocoon,File Analysis,PDF,CLI,,Embeds a document into another and makes it open at startup.,http://code.google.com/p/origami-pdf/,
pdf,pdfcop,File Analysis,PDF,CLI,,"A PDF filtering engine, performing an automated analysis given a configured policy.",http://code.google.com/p/origami-pdf/,
pdf,pdfdecompress,File Analysis,PDF,CLI,,Removes any compression/encoding from a document.,http://code.google.com/p/origami-pdf/,
pdf,pdfdecrypt,File Analysis,PDF,CLI,,Decrypts a PDF file.,http://code.google.com/p/origami-pdf/,
pdf,pdfencrypt,File Analysis,PDF,CLI,,Encrypts a PDF file.,http://code.google.com/p/origami-pdf/,
pdf,pdfextract,File Analysis,PDF,CLI,,Extracts various objects from a document & extracts JavaScript or SWFs from PDFs,http://code.google.com/p/origami-pdf/,
pdf,pdfid.py,File Analysis,PDF,CLI,,"Scans a file to look for certain PDF keywords, allowing you to identify PDF documents that contain (for example) JavaScript or execute an action when opened.",http://blog.didierstevens.com/programs/pdf-tools/,
pdf,pdfmetadata,File Analysis,PDF,CLI,,Retrieves metadata out of a document.,http://code.google.com/p/origami-pdf/,
pdf,pdf-parser.py,File Analysis,PDF,CLI,--search<flash>,This tool will parse a PDF document to identify the fundamental elements used in the analyzed file.,http://blog.didierstevens.com/programs/pdf-tools/,
pdf,pdfscope,File Analysis,PDF,GUI,,A wxPython GUI create for use with Didier Stevens PDFiD.pf and pdf-parser.py,https://code.google.com/p/pdfscope/,
pdf,Pdftk,File Analysis,PDF,,,Pdftk allows you to manipulate PDF easily and freely.,http://www.pdflabs.com/tools/pdftk-the-pdf-toolkit/,
pdf,pdfwalker,File Analysis,PDF,,,Navigate through PDFs,http://esec-lab.sogeti.com/pages/Origami,
pdf,pdfxray_lite,File Analysis,PDF,CLI,,A PDF scanner that will try and classify if a suspicious PDF is malicious or not,https://github.com/9b/pdfxray_lite#readme,
,pdgmail,Memory,,CLI,,Extracts Gmail artifacts from a memory dump.,http://www.jeffbryner.com/code/pdgmail,
-,pdnstool,Network,,CLI,,,,
exe,pe editor,File Analysis,PE Analysis,,,,http://www.softpedia.com/get/Programming/File-Editors/PEditor.shtml,
dmp,PEBrowse Crash-Dump Analyzer,Memory,Crash Dump,GUI,,"A  Windows usermode crash-dump analysis tool for Microsoft Windows 2000, Windows XP and Windows 2003",http://www.smidgeonsoft.prohosting.com/pebrowse-crash-dump-analyzer.html,
"exe, dll, ocx, sys",PEBrowsePro,Malware,PE Analysis,,,A static-analysis tool and disassembler for Win32/Win64 executables and Microsoft .NET assemblies produced according to the Portable Executable specifications published by Microsoft,http://www.smidgeonsoft.prohosting.com/pebrowse-pro-file-viewer.html,
pdf,Peepdf,File Analysis,PDF,CLI,"set output , reset, js_code, js_analyze, info, -i",Navigate through PDFs,http://eternal-todo.com/tools/peepdf-pdf-analysis-tool,
exe,PEiD,File Analysis,File Identification,,,Attempts to identify the packer used on a file.,,
"exe, dll",pescanner,File Analysis,File Identification,CLI,,Scan the executable for suspicious characteristics and packer signatures using,,
"pe,dll",pev,Malware,PE Analysis,CLI,,pev is a multiplatform PE analysis toolkit that includes tools to retrieve and parsing information about Windows PE files.,http://sourceforge.net/projects/pev/,
"exe, dll, obj, lib, dbg",PEView,File Analysis,File Identification,GUI,,"Quick and easy way to view the structure and content of 32-bit Portable Executable (PE) and Component Object File Format (COFF) files which supports the viewing of EXE, DLL, OBJ, LIB, DBG, and other file types.",http://www.magma.ca/~wjr/,
pf,pf,Forensics,Prefetch,CLI,,Tool to analyze Windows Prefetch files,,
-,pffdetect,Network,Fast Flux,CLI,,"A simple python script to check if a given domain, or list of them, looks like fast-fluxed domain. Can also be easily used as an external python module. ",https://code.google.com/p/pffdetect/,
pst,pffexport,Forensics,Email Analysis,CLI,,Tool to extract the contents of an MS outlook .pst file & can also extract/decode any attachments,,
-,PhotoRec,Forensics,File Carving,CLI,,"File recovery software designed to recover lost files including video, documents and archives from hard disks, CD-ROMs, and lost pictures (thus the Photo Recovery name) from digital camera memory.  PhotoRec ignores the file system and goes after the underlying data, so it will still work even if your media's file system has been severely damaged or reformatted. ",http://www.cgsecurity.org/wiki/PhotoRec,
-,pigz,System,Archive,CLI,,Faster alternative to gzip; compresses using threads to make use of multiple processors and cores. ,http://www.linuxcertif.com/man/1/pigz/,
plist,plist editor,File Analysis,Mac Forensics,GUI,-,Part of Mac's Xcode developer tools.,,
-,PMAP Info,Forensics,Mac Forensics,,,This utility is used to display the physical partition map of a selected device.,https://www.blackbagtech.com/resources/freetools.html,
,pref.pl,Forensics,Filesystem Analysis,CLI,,,,
plist,pref_parser.pl,Forensics,Mac Forensics,CLI,,General purpose plist parser - Part of SFT (Safari Forensic Tools),http://jafat.sourceforge.net/files.html,
pf,Prefetch Hash Calculator,Forensics,Prefetch,CLI,,Produces a lookup table that you can grep or import to Excel and use VLOOKUP function to search for the known Prefetch file name.,http://www.hexacorn.com/blog/2012/06/13/prefetch-hash-calculator-a-hash-lookup-table-xpvistaw7w2k3w2k8/,
csv,ProcDot,Malware,File Analysis,GUI,,"Tool which  processes Sysinternals Process Monitor (Procmon) logfiles and PCAP-logs (Windump, Tcpdump) to generate a graph via the GraphViz suite. This graph visualizes any relevant activities (customizable) and can be interactively analyzed. ",http://www.cert.at/downloads/software/procdot_en.html,
-,Process Explorer,System,Process Monitoring,GUI,,,http://technet.microsoft.com/en-us/sysinternals/bb896645.aspx,
,Process Hacker,System,Process Monitoring,GUI,,,http://processhacker.sourceforge.net/,Yes
-,Process Monitor,System,Filesystem Monitoring,GUI,,"A monitoring tool for Windows that shows real-time file system, Registry and process/thread activity.",http://technet.microsoft.com/en-us/sysinternals/bb896645.aspx,
"java, jar, class",ProGuard,Pentest,Obfuscation/Encryption,CLI,,"Java class file shrinker, optimizer, obfuscator, and preverifier",http://proguard.sourceforge.net/,
py,py2exe,Programming,,CLI,,Converts Python scripts into executable Windows programs,http://sourceforge.net/projects/py2exe/,
pdf,pyew,File Analysis,PDF,CLI,"url, threat, antivm, sc, pdf, ole",Navigate through PDFs,http://code.google.com/p/pyew/wiki/PDFAnalysis,
exe,pyew,File Analysis,PE Analysis,CLI,"url, threat, antivm, sc, pdf, ole, pyew.imports",Explore the executable’s internals,http://code.google.com/p/pyew/wiki/MalwareAnalysis,
"doc, xls, ppt",pyew,Forensics,Microsoft Office,CLI,,Can parse the OLE2 format,https://code.google.com/p/pyew,
pcap,PyFlag,Network,File Analysis,GUI,,"A web-based, database-backed forensic and log analysis GUI and Computer forensics framework written in Python.",http://sourceforge.net/projects/pyflag/,
log,PyFlag,Forensics,Log Analysis,GUI,,"A web-based, database-backed forensic and log analysis GUI and Computer forensics framework written in Python.",http://sourceforge.net/projects/pyflag/,
,pylogsparser,Forensics,Log Analysis,CLI,,An opensource python library used as the core mechanism for logs tagging and normalization ,https://github.com/wallix/pylogsparser,
"doc, xls, ppt",pyOLEScanner.py,File Analysis,Microsoft Office,,,Examine suspicious Microsoft Office documents,https://github.com/Evilcry/PythonScripts/blob/master/pyOLEScanner.py,
-,pyssdeep.py,File Identification,Fuzzy Hashing,,,Calculates ssdeep fuzzy hash of files.,http://code.google.com/p/pyssdeep/,
swf,pySwfCarve,File Analysis,Flash,CLI,,Carve Embedded SWF Files,https://raw.github.com/Evilcry/PythonScripts/master/pySwfCarve.py,
qcow2,qemu-img,Forensics,,,,QEMU's utility that can convert its QCOW2 file format to VMDK's and raw images,,
vmdk,QuarantineVM,Forensics,Virtual Machine Analysis,,,Allows you to quarantine a VM using VIX and VDDK,http://communities.vmware.com/servlet/JiveServlet/download/38-18105/QuarantineVM.zip,
,QuickUnpack,File Analysis,Unpacking,,,,,
swf,RABCDAsm,File Analysis,Flash,,,Examine malicious Flash files,https://github.com/CyberShadow/RABCDAsm#readme,
,radare,Dissasemble,,,,Disassemble code,http://radare.org/,
-,RadioGraPhy,Forensics,Live IR,Both,,Grabs info from a Windows system & uses Team Cymru's MHR for unknown files and WinUnhide for integrity/catch hidden processes,http://www.security-projects.com/?RadioGraPhy,
,Raw2VMDK,Forensics,Disk Analysis,CLI,,Utility that generates a valid VMDK file that points to an existing raw image.,http://sourceforge.net/projects/raw2vmdk/,
pcap,RawCap,Network,Network Monitoring,CLI,,RawCap is a free command line network sniffer for Windows that uses raw sockets.,http://www.netresec.com/?page=RawCap,
jar,RAWJAR,File Analysis,Java,,,"Ear, Jar and War archive backdooring and resigning utility",https://github.com/nberthaume/RAWJAR,
pst,readpst,Forensics,Email Analysis,CLI,,Tool to extract the contents of an MS outlook .pst file,,
,Recycle Bin Parser,Forensics,,,,Parse the Recycle bin and output information on it.,http://redwolfcomputerforensics.com/index.php?option=com_content&task=view&id=42&Itemid=55,
dat,regdetect,Forensics,Registry Analysis,CLI,,"Scans specified registry files for specific keys, as configured in the regdetect.ini file, and generates and output file containing specifics about the key detected. Includes regdetect.pl and regdetect.exe.",http://www.cutawaysecurity.com/blog/scripts-and-tools,
dat,RegExtract,Forensics,Registry Analysis,GUI,,Windows GUI that parses Registry hives with plugins and can export to CSV,http://www.woanware.co.uk/?page_id=209,Yes
dat,RegExtract,Forensics,Registry Analysis,GUI,,Windows registry parser with plugins similar to RegistryTRipper,http://www.woanware.co.uk/?page_id=209,Yes
dat,Registry Decoder,File Analysis,Registry Analysis,GUI,,"RegistryDecoder can do live/dead analysis.  Live allows for the safe acquisition of registry files from a live machine by forcing a system restore point, thus putting the currently active registry files into a read-only state in backup.",http://www.digitalforensicssolutions.com/registrydecoder/,
dat,Registry Ripper,Forensics,Registry Analysis,Both,,,http://code.google.com/p/winforensicaanalysis/downloads/list,
dat,Registry Viewer,File Analysis,Registry Analysis,GUI,,Access Data's Registry Viewer.,,
dat,RegLookup,File Analysis,Registry Analysis,CLI,-,"reglookup is designed to read windows registry elements and print them out to stdout in a CSV-like format. It has filtering options to  narrow the  focus of the output. This tool is designed to work with on windows NT/2K/XP/2K3 registries, though your mileage may vary.",http://projects.sentinelchicken.org/reglookup/,
-,Regshot,System,Filesystem Monitoring,GUI,,,https://sourceforge.net/projects/regshot,
,regslack,File Analysis,Registry Analysis,CLI,,,,
dat,regtln.pl,Forensics,Registry Analysis,CLI,,RegRipper plugin that generates a TSK bodyfile from any Windows registry hive,http://www.cutawaysecurity.com/blog/scripts-and-tools,
dll,RemoteDLL,File Analysis,PE Analysis,GUI,,Dll Injector/Remover Tool from Windows Process ,http://securityxploded.com/download.php#remotedll,
"exe, dll",Resource Hacker,File Analysis,PE Analysis,GUI,,"Utility to view, modify, rename, add, delete and extract resources in 32bit & 64bit Windows executables and resource files (*.res). ",http://www.angusj.com/resourcehacker/,
"dd, dmp",Responder CE,Forensics,Memory Analysis,,,"Rebuilds all the underlying data structures up to 6 gigabytes of RAM. This includes all physical to virtual address mappings, recreates the object manager, exposes all objects, and enables investigators to perform a complete and comprehensive computer investigation.",http://www.hbgary.com/free-tools,
,Restore Point Analyzer,Forensics,,GUI,,Mandiant's Restore Point Analyzer,,
js,Revelo,Malware,Javascript,GUI,,"JavaScript deobfuscator that works by writing the Javascript with some user-based modifcations to an HTML file, opening the file inside of the tool, and extracting deobfuscated elements using the Internet Explorer engine.",http://www.kahusecurity.com/2012/revelo-javascript-deobfuscator/,
,Rhino,,,,,,,
js,rhino-debugger,File Analysis,JavaScript,,,Deobfuscate JavaScript,http://www.mozilla.org/rhino/debugger.html,
INFO2,rifiuti,Forensics,Recycle Bin Analysis,,,Tool to see what was empties from the Windows Recycle Bin,,
-,RmvConfickerB,Malware,Conficker,-,,Conficker removal tool,http://www.virusbuster.hu/en/support/support-news/exploring-computers-infected-conficker,
-,Robocopy,Forensics,File Recovery,CLI,"Robocopy C:\<dir1> C:\<dir2> /COPYALL /E /DCOPY:T  = recursively copy dr1 to dir1 w/ all file info (ACLS, timestamps) & preserver original directories timestamps",Robusy File Copy replaces xcopy in Vista+,-,
-,Rootkit Hunter,Malware,Linux Forensics,CLI,,"Rootkit Hunter, security monitoring and analyzing tool for POSIX compliant systems.",http://sourceforge.net/projects/rkhunter/,
,rsafindkey,Cryptography,Obfuscation/Encryption,,,Find obfuscated or encrypted data,,
"rtf, doc",RTFScan,File Analysis,Microsoft Office,CLI,scan,"Tool that's able  to scan for malicious traces like shellcode, dumps embedded OLE and PE files and other data containers",http://reconstructer.org/code/OfficeMalScanner.zip,
plist,safari_bm.pl,Forensics,Mac Forensics,CLI,,Safari Bookmarks.plist file parser - Part of SFT (Safari Forensic Tools),http://jafat.sourceforge.net/files.html,
-,safari_cookie_bin.pl,Forensics,Mac Forensics,CLI,,Safari Cookies.BinaryCookies parser - Part of SFT (Safari Forensic Tools),http://jafat.sourceforge.net/files.html,
plist,safari_cookies.pl,Forensics,Mac Forensics,CLI,,Safari Cookies.plist parser - Part of SFT (Safari Forensic Tools),http://jafat.sourceforge.net/files.html,
plist,safari_downloads.pl,Forensics,Mac Forensics,CLI,,Safari Downloads.plist parser - Part of SFT (Safari Forensic Tools),http://jafat.sourceforge.net/files.html,
plist,safari_hist.pl,Forensics,Mac Forensics,CLI,,Safari History.plist parser - Part of SFT (Safari Forensic Tools),http://jafat.sourceforge.net/files.html,
db,safari_icon.pl,Forensics,Mac Forensics,CLI,,Safari icon.db/WebpageIcons.db parser - Part of SFT (Safari Forensic Tools),http://jafat.sourceforge.net/files.html,
plist,safari_top.pl,Forensics,Mac Forensics,CLI,,Safari TopSites.plist parser - Part of SFT (Safari Forensic Tools),http://jafat.sourceforge.net/files.html,
