Prefixes transited per AS (Global)
----------------------------------

  ASN   No of nets  Description
22388       47      TRANSPAC - Indiana University, US
22925       47      ALLIED-TELECOM - Allied Telecom Group, 
23404       47      RITTERNET - Ritter Communications, Inc.
24155       47      APBW-AS-TW Asia Pacific Broadband Wirel
28338       47      Net Botanic Internet Inteligente Ltda, 
28649       47      Desktop Sigmanet Comunicação Multimídia
34547       47      TELESMART-AS , MK
43733       47      K-TELECOM Karabakh Telecom 47975, AM
53184       47      INB Telecom EIRELI - ME, BR
53889       47      MICFO - Micfo, LLC., US
59583       47      ASNETKAZAHSTAN , KZ
62206       47      PITLINE-AS , UA
 1653       46      SUNET SUNET Swedish University Network,
 6855       46      , SK
 6922       46      TEXASAGENCYNET - Texas Department of In
 8342       46      RTCOMM-AS , RU
15219       46      AS-15219 - ANPI, LLC, US
17622       46      CNCGROUP-GZ China Unicom Guangzhou netw
23033       46      WOW - Wowrack.com, US
27506       46      RBS-NYC - Sidera Networks LLC, US
32743       46      USCOLO-ASN - U.S. COLO, LLC, US
33287       46      COMCAST-33287 - Comcast Cable Communica
38496       46      CNI-AS-ID PT Cyber Network Indonesia, I
38731       46      VTDC-AS-VN Vietel - CHT Compamy Ltd, VN
39543       46      TENNET-AS , RO
47869       46      NETROUTING-AS , NL
51964       46      ORANGE-BUSINESS-SERVICES-IPSN-ASN , FR
 5730       45      WORLDNET3 - AT&T Services, Inc., US
 8121       45      LAYER42 - TCH Network Services, US
 8767       45      MNET-AS Germany, DE
 9146       45      BIHNET BIHNET Autonomus System, BA
10881       45      FUNPAR - Fundacao da UFPR para o DCTC, 
13127       45      VERSATEL AS for the Trans-European Tele
15836       45      AXAUTSYS Republic of Moldova, MD
15994       45      ASN-DCM Zagreb, Croatia, HR
17232       45      ATT-CERFNET-BLOCK - AT&T Enhanced Netwo
17917       45      QTLTELECOM-AS-AP Quadrant Televentures 
19159       45      AFFINITIPA - Affiniti, LLC, US
20141       45      QUALITYTECH-SUW-300 - Quality Technolog
43343       45      ARYASAT Arya Sepehr Ettelarasan Tehran 
45769       45      DVOIS-IN D-Vois Broadband Pvt Ltd, IN
50928       45      SYNTSIB-AS , RU
52251       45      NORTECH, AR
53181       45      K2 Telecom e Multimidia LTDA ME, BR
53264       45      CDC - Continuum Data Centers, LLC., US
58689       45      ICCNET-DHK-BD ICC Communication, BD
 1241       44      FORTHNET-GR Forthnet, GR
 3329       44      HOL-GR Athens, Greece, GR
 9587       44      DTACNETWORK-TH-AP 26th Floor 333/3 Moo 
14325       44      OSHEAN - OSHEAN, Inc., US
17547       44      QALA-SG-AP M1 Net Ltd, SG
18809       44      Cable Onda, PA
20021       44      LNH-INC - HostMySite, US
21183       44      ABCOM-AS Tirana, Albania, AL
23201       44      Telecel S.A., PY
23686       44      ASN-EQIX-MEL-EE-AP Equinix's Melbourne 
27257       44      WEBAIR-INTERNET - Webair Internet Devel
29053       44      TELENET-JSC-AS , RU
30373       44      BUSINESSONLYBROADBANDLLC - Business Onl
31203       44      SHARQ-TELECOM , UZ
34867       44      COSMONOVA-AS Kiev, Ukraine, UA
35228       44      O2BROADBAND , GB
35549       44      METRONET-AS Zagreb, Croatia, HR
37468       44      ANGOLA-CABLES, AO
40715       44      DATACENTER-BZ - DataCenter.BZ, LLC, US
  553       43      BELWUE BelWue-Koordination, DE
 6325       43      ILLINOIS-CENTURY - Illinois Century Net
 6853       43      ORANGE-BUSINESS-SERVICES-SOUTHEUR , EU
 9905       43      LINKNET-ID-AP Linknet ASN, ID
10282       43      DIALIP-PR - GLOBAL ONE, US
11272       43      TELEPAK-NETWORKS-INC - C Spire Fiber, U
13767       43      DBANK - DataBank Holdings, Ltd., US
15576       43      NTS , CH
17227       43      ATT-CERFNET-BLOCK - AT&T Enhanced Netwo
17228       43      ATT-CERFNET-BLOCK - AT&T Enhanced Netwo
18200       43      OPT-NC-AS-AP Office des Postes et Telec
20552       43      HORYZONT , PL
28191       43      Jupiter Telecomunicacoes e Informatica 
28550       43      Uninet S.A. de C.V., MX
36493       43      295CA-TOR-ASN - FIBERNETICS CORPORATION
37153       43      HETZNER, ZA
38195       43      APEXN-SLC-AS Superloop (APEXn Pty Ltd),
40220       43      MATP - Virginia Polytechnic Institute a
40498       43      ABQG - New Mexico Lambda Rail, Inc., US
50670       43      VTELJO , JO
53013       43      WIX NET DO BRASIL LTDA, BR
 4181       42      TDS-AS - TDS TELECOM, US
 4589       42      EASYNET Easynet Global Services, GB
 6849       42      UKRTELNET , UA
 8280       42      SYNAPSECOM-AS AS NUMBER OF SYNAPSECOM, 
 8751       42      MEDIASAT , RO
12714       42      TI-AS Moscow, Russia, RU
16097       42      HLKOMM 04107 Leipzig, DE
20870       42      KAVKAZ-TRANSTELECOM-AS , RU
21103       42      PRIMTEL-AS Vladivostok, RU
25291       42      SYSELEVEN SysEleven GmbH, DE
25577       42      C4L-AS , GB
25746       42      UNISYSASN25746 - Unisys Corporation, US
35699       42      ADAMOEU-AS Catalonia Neutral Internet E
36930       42      Zantel-AS, TZ
42861       42      FOTONTELECOM Website: http://www.fotont
49909       42      DIRECT-ONE-AS , RO
 4004       41      GLOBAL-SPLK - Sprint International, US
 4760       41      HKTIMS-AP PCCW Limited, HK
 4802       41      ASN-IINET iiNet Limited, AU
 5583       41      ORANGE-BUSINESS-SERVICES-BENELUX Orange
 5645       41      TEKSAVVY - TekSavvy Solutions, Inc., CA
 5738       41      SOVER-ASN - SoVerNet, Inc., US
 7332       41      LIGHTBOUND-AS - IQuest Internet, US
 7643       41      VNPT-AS-VN Vietnam Posts and Telecommun
 8331       41      RINET-AS Cronyx Plus Ltd, RU
 8905       41      DIGIT1-AS Digit One Moscow Network, RU
 9119       41      SOFTNET-AS Internet Service Provider in
10158       41      KAKAO2 KAKACO, KR
10929       41      NETELLIGENT - Netelligent Hosting Servi
12042       41      ENVENTIS - Enventis Telecom Inc., US
16030       41      ALTECOM , ES
16347       41      RMI-FITECH , FR
21782       41      PLATEAU - Plateau Telecommunications In
22489       41      CASTLE-ACCESS - Castle Access Inc, US
23838       41      SOLARIX-INTERNET-AS-AP Solarix Networks
25159       41      SONICDUO-AS , RU
25525       41      REASONNET-AS Amsterdam, the Netherlands
27720       41      CITTA TELECOM LTDA, BR
31167       41      AXIONE-AS , FR
36992       41      ETISALAT-MISR, EG
45588       41      BTCL-ISP-AS Bangladesh Telecommunicatio
58321       41      OXYLION-AS , PL
 4816       40      CHINANET-IDC-GD China Telecom (Group), 
 7459       40      GRANDECOM-AS1 - Grande Communications N
 7693       40      COMNET-TH KSC Commercial Internet Co. L
 8048       40      CANTV Servicios, Venezuela, VE
10396       40      COQUI-NET - DATACOM CARIBE, INC., PR
12593       40      AS12593 , UA
13576       40      SDNW-13576 - SOUTH DAKOTA NETWORK, US
15305       40      SYRINGANETWORKS - Syringa Networks, LLC
15735       40      DATASTREAM-NET , MT
20161       40      TRGO - TeraGo Networks Inc., CA
24940       40      HETZNER-AS , DE
27693       40      NipBr - NipCable do Brasil Telecom LTDA
33659       40      CMCS - Comcast Cable Communications, LL
58668       40      BD-LINK-BD BD Link Communication Ltd, B
58688       40      RADIANT RADIANT COMMUNICATIONS LTD IIG,
58889       40      ZOL-BD Zx Online Ltd, BD
 7438       39      Pegaso PCS, S.A. de C.V., MX
 9930       39      TTNET-MY TIME dotCom Berhad, MY
11855       39      ASN-INTERNAP-BLK - Internap Network Ser
12357       39      COMUNITEL SPAIN, ES
13333       39      CCI-PA-AS-1 - Consolidated Communicatio
13368       39      JCP - James Cable, LLC, US
14743       39      INTERNAP-BLOCK-4 - Internap Network Ser
21189       39      MAKEEVKA Ukraine, UA
25466       39      LIDERONET , SE
29863       39      LATISYS-DENVER - Latisys-Denver, LLC, U
31252       39      STARNET-AS , MD
41572       39      HAFSLUND , NO
42000       39      KAORA Czech Republic, CZ
43948       39      GLESYS-AS , SE
49800       39      GNC-ALFA GNC Alfa CJSC (Rostelecom Arme
54048       39      CVIN - CVIN LLC, US
61573       39      IP2TEL SERVICOS DE COMUNICACAO MULTIMID
  766       38      REDIRIS RedIRIS Autonomous System, ES
 5408       38      GR-NET http://www.grnet.gr, GR
 9506       38      SINGTEL-FIBRE Singtel Fibre Broadband, 
 9790       38      CALLPLUS-NZ-AP CallPlus Services Limite
 9929       38      CNCNET-CN China Netcom Corp., CN
12390       38      KINGSTON-UK-AS , GB
25273       38      BCELU S T N S, LU
28663       38      FLYS INTERATIVA LTDA, BR
35047       38      ABISSNET , AL
42755       38      DATAFIBER-AS , NL
48287       38      RU-SERVICE-AS , RU
49352       38      LOGOL-AS , RU
50606       38      VIRTUAOPERATOR-AS , PL
52873       38      SOFTDADOS CONECTIVIDADE, BR
 2614       37      ROEDUNET , RO
 2860       37      NOS_COMUNICACOES , PT
 7850       37      CITYLINKFIBER - iHighway.net, Inc., US
14543       37      SRT-ASN - SRT Communications, Inc., US
18007       37      INHERENT-AS-ID-AP INHERENT, ID
21453       37      FLEX-AS , RU
22869       37      CABLECOLOR S.A., HN
30619       37      TDM-AS, MZ
30696       37      TETN-I2 - Texas Education Agency, US
33189       37      SOUTH-DAKOTA-RESEARCH-AND-EDUCATION-NET
34700       37      CITYNET-AS Maxnet LLC, UA
40861       37      PARAD-40-ASN - Paradise Networks LLC, U
45157       37      MERCANTILE-INTERNATIONAL-TRANSIT-AS-AP 
48276       37      LEVEL-AS , RU
62081       37      ASN-SNRRSIEP , PL
 9891       36      CSLOX-IDC-AS-AP CS LOXINFO Public Compa
 9919       36      NCIC-TW New Century InfoComm Tech Co., 
15133       36      EDGECAST - MCI Communications Services,
15763       36      ASDOKOM , DE
16696       36      ITELNETWORKS - iTel Networks Inc, CA
18046       36      DONGFONG-TW DongFong Technology Co. Ltd
18068       36      ACROSS Dream Wave Shizuoka Co. Ltd., JP
19182       36      TELEFÔNICA BRASIL S.A, BR
21575       36      ENTEL PERU S.A., PE
21777       36      MASSIVE-NETWORKS - Massive Networks, US
24753       36      C2C-NET , NL
25091       36      IP-MAX , CH
25233       36      AWALNET-ASN , SA
26599       36      TELEFÔNICA BRASIL S.A, BR
27751       36      Neunet S.A., AR
30282       36      AS-INAPCDN-OCY - Internap Network Servi
30689       36      FLOW-NET - FLOW, JM
34123       36      NETORN-AS , RU
37076       36      EMTS-NIGERIA-AS, NG
39293       36      RTCENTER-AS , RU
39824       36      ALMANET-AS , KZ
42473       36      ANEXIA-AS A-9020 Klagenfurt, AT
51431       36      IR-AVABARID-AS , IR
52721       36      TOLEDO INFO LTDA, BR
52925       36      ASCENTY DATA CENTERS LOCAÇÃO E SERVIÇOS
60171       36      AFRIX-AS , ES
63969       36      RACEONLINE-BD Race Online Limited, BD
   71       35      HP-INTERNET-AS - Hewlett-Packard Compan
  297       35      AS297 - National Aeronautics and Space 
  714       35      APPLE-ENGINEERING - Apple Inc., US
 3252       35      FBRX-AS , GB
 4618       35      INET-TH-AS Internet Thailand Company Li
 5972       35      DNIC-ASBLK-05800-06055 - DoD Network In
12773       35      MM-AS , UA
13951       35      CENTER-SEVEN - C7 Data Centers, Inc., U
15757       35      GASCOM-NET , RU
17498       35      CINENET-AS-AP Cinenet Systems Pty Ltd, 
19019       35      AS-COSENTRY-COM-1 - COSENTRY.NET, LLC, 
21367       35      ZVEZDATEL-AS , RU
25454       35      ASN-OMD-FNO Orange Moldova Fixed Networ
27932       35      Redes y Telecomunicaciones, HN
28438       35      Metro Net, S.A.P.I. de C.V., MX
33490       35      COMCAST-33490 - Comcast Cable Communica
45352       35      IPSERVERONE-AS-AP IP ServerOne Solution
46208       35      PFNL-ASN - Peninsula Fiber Network, LLC
48966       35      WPT , PS
53242       35      NOGUEIRA & DANTAS LTDA, BR
62833       35      HUDSONFIBERNET - Hudson Fiber Network, 
 5488       34      BELGACOM , BE
 8282       34      FIDONET FidoNet Registration Services L
12302       34      VODAFONE_RO Charles de Gaulle nr.15, RO
14178       34      Megacable Comunicaciones de Mexico, S.A
14230       34      INVOLTA - Involta, US
16338       34      ONO-AS2 C./ Basauri, 5, ES
17675       34      AS-PNAPTOK Internap Japan Co.,LTD., JP
20299       34      Newcom Limited, GT
21488       34      EMPLOT-AS DECIX, UA
30036       34      MEDIACOM-ENTERPRISE-BUSINESS - Mediacom
33652       34      CMCS - Comcast Cable Communications, LL
43612       34      BLIZOO , MK
46786       34      IPTRANSIT - IP Transit Inc., US
52554       34      S. A. da Silva Junior, BR
52783       34      SKYNET TELECOMUNICACOES LTDA, BR
53610       34      METRO-COMMUNICATIONS-COMPANY-INC - Metr
 3249       33      ESTPAK , EE
 4641       33      ASN-CUHKNET # AS-CUHKNET CONVERTED TO A
 5432       33      BELGACOM-SKYNET-AS , BE
 6221       33      USCYBERSITES - US Cybersites, Inc, US
 6821       33      MT-AS-OWN bul. Orce Nikolov bb, MK
 9387       33      AUGERE-PK AUGERE-Pakistan, PK
10013       33      FBDC FreeBit Co.,Ltd., JP
10084       33      WAIA-TRANSIT-AP Western Australian Inte
17554       33      CITIC-HK-AP Citic Telecom International
19114       33      Otecel S.A., EC
19754       33      FNL-33-19754 - The Fusion Network, LLC,
24709       33      HYPERION Hyperion S.A. IP Backbone, PL
28024       33      Nuevatel PCS de Bolivia S.A., BO
28299       33      IPV6 Internet Ltda, BR
33148       33      TEXAS-STATE-UNIVERSITY-SYSTEM - Texas S
36024       33      COLO4-CO - Colo4, LLC, US
40065       33      CNSERVERS - CNSERVERS LLC, US
43668       33      BIGNET-AS , UA
45538       33      ODS-AS-VN Online data services, VN
55658       33      HYPERNET-AS-ID PT. HIPERNET INDODATA, I
56030       33      VOYAGERNET-AS-AP Voyager Internet Ltd.,
 1351       32      UVM-EDU-AS - University of Vermont, US
 3212       32      TRIERA Broadband Access & Carrier Servi
 6421       32      AS6421 - TATA COMMUNICATIONS (AMERICA) 
 8403       32      SPOTIFYLTD , GB
10834       32      Telefonica de Argentina, AR
11242       32      Universidade Federal de Santa Catarina,
12337       32      NORIS-NETWORK IT Service Provider locat
12849       32      HOTNET-IL AMS-IX Admin LAN, IL
17378       32      AS17378 - TIERPOINT PENNSYLVANIA TWO LL
17561       32      DOFWA-AP Department of Finance - Wester
22759       32      ASTOUND-CABLE - Wave Broadband, US
22822       32      LLNW - Limelight Networks, Inc., US
24324       32      KORDIA-TRANSIT-AS-AP Kordia Limited, NZ
27805       32      EPM Telecomunicaciones S.A. E.S.P., CO
28224       32      CPNET Com. e Serv. Telecomunicações Ltd
28509       32      Cablemas Telecomunicaciones SA de CV, M
32748       32      STEADFAST - Steadfast, US
33662       32      CMCS - Comcast Cable Communications, LL
36327       32      VINAKOM - VINAKOM COMMUNICATIONS, US
44327       32      DELTANET-NET Caucasus-Peering, GE
44587       32      MEGACOM-AS , RU
49689       32      HOMATELECOM , IR
49895       32      DCENTER-AS , PL
53018       32      Viana & Viana Comunicaçao LTDA-ME, BR
53767       32      ICASTCENTER - iCastCenter, US
55720       32      GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
 5577       31      ROOT , LU
 6057       31      Administracion Nacional de Telecomunica
 7602       31      SPT-AS-VN Saigon Postel Corporation, VN
 8677       31      WORLDLINE Atos Worldline SAS, FR
12847       31      LMT-NET Riga, Latvia, LV
20875       31      HPTNET-AS , BA
24589       31      TELENETSIA-AS , LV
29582       31      SATCOM-AS , BG
33668       31      CMCS - Comcast Cable Communications, LL
34187       31      RENOME-AS , UA
34549       31      MEER-AS meerfarbig GmbH & Co. KG, DE
37027       31      SIMBANET-AS, TZ
40151       31      ELITE - Old Dominion University, US
43061       31      SI-STELKOM , SI
43110       31      ROSTNET-AS Kharkov, Ukraine, UA
49289       31      IPROUTE AMSTERDAM AMS-IX RS, IT
49367       31      ASSEFLOW Amsterdam Internet Exchange (A
50173       31      VTESSE , GB
50923       31      METRO-SET-AS Metroset Autonomous System
61231       31      SSE-TELECOMS , GB
62600       31      ABOR-SUN-CORRIDOR - Arizona Board of Re
 2495       30      KANREN - Kansas Research and Education 
 7991       30      CENTURYLINK-LEGACY-SAVVIS-ASIA-TRANSIT 
11081       30      United Telecommunication Services (UTS)
13354       30      ASN-EBLGLOBAL - EBL Global Networks, In
15090       30      COMLINK-LLC - Comlink, LLC, US
15626       30      ITLAS , UA
20836       30      CDLAN-AS Milano, IT
21057       30      OVERON-SPAIN-AS Ciudad de la Imagen - M
23114       30      CRITICALHUBNET - Critical Hub Networks,
24867       30      ADAPT-AS , GB
26496       30      AS-26496-GO-DADDY-COM-LLC - GoDaddy.com
28244       30      Sendnet Provider Ltda, BR
31261       30      GARS-AS Moscow, Russia, RU
34209       30      PLIXDC-AS , PL
38930       30      FIBERRING Amsterdam, Netherlands, NL
45437       30      RWTS-AS-AP Real World - The Core, AU
45587       30      CBCNET-CERNET-AS-AP China Broadband Com
53158       30      Net Turbo Telecom, BR
60169       30      GFIT-AS , DE
61813       30      EDGE4M CONSULTORIA EM INFRAESTRUTURA LT
 1887       29      NASK-ACADEMIC , PL
 4805       29      EQUANT-OCEANIA Orange Business AS for O
 4854       29      IINET-AU Netspace Online Systems, AU
 5384       29      EMIRATES-INTERNET Emirates Internet, AE
 6703       29      ALKAR-AS , RU
 6846       29      UKRPACK , UA
 8487       29      PHIBEE , FR
 8953       29      ASN-ORANGE-ROMANIA , RO
 9129       29      KE-NET2000, ZA
10021       29      KVH KVH Co.,Ltd, JP
11260       29      EASTLINK-HSI - EastLink, CA
13760       29      SOUTHERN-LIGHT - Southern Light, LLC, U
15808       29      ACCESSKENYA-KE ACCESSKENYA GROUP LTD is
16626       29      GNAXNET-AS - Global Net Access, LLC, US
17511       29      K-OPTICOM K-Opticom Corporation, JP
21107       29      BLICNET-AS # BLIC.NET AS peering info, 
21949       29      BEANFIELD - Beanfield Technologies Inc.
23855       29      SINGAREN-GIX-AS-AP Singapore Advanced R
33660       29      CMCS - Comcast Cable Communications, LL
39232       29      UNINET , AZ
42781       29      ZNETAS-KW , KW
44735       29      SIP-ASN , IS
49550       29      NTT2-LT-AS , LT
50084       29      RAPID-LINK-AS Gh. Asachi 71/7, RO
50369       29      SAFEGRID , RO
53115       29      ASSOCIACAO NACIONAL DAS EMPRESAS DE SOL
63351       29      ASN-SCF-45 - Southern Caribbean Fiber, 
  210       28      WEST-NET-WEST - Utah Education Network,
 2874       28      ORANGE-BUSINESS-SERVICES-NORDICS , SE
 3790       28      RADIOGRAFICA COSTARRICENSE, CR
 7418       28      TELEFÓNICA CHILE S.A., CL
 7896       28      UNL-AS - University of Nebraska-Lincoln
12570       28      ITSELF Network and internet service pro
13693       28      NTS-ONLINE - NTS Communications, US
14430       28      BWFN - BalsamWest FiberNET, LLC, US
15164       28      UPNLLC - Unite Private Networks LLC., U
15577       28      RDR-AS , UA
15598       28      QSC-AG-IPX , DE
16058       28      Gabon-Telecom, GA
17477       28      MCT-SYDNEY Macquarie Telecom, AU
25549       28      AVANTEL-AS , RU
26253       28      SCINTERNET - South Central Communicatio
26617       28      Navega.com S.A., GT
26806       28      SRNET-SASKATCHEWAN-RESEARCH-NETWORK - S
29491       28      KIEVLINE , UA
29614       28      GHANATEL-AS, GH
30950       28      BKK-FIBER-AS-30950 Norway, NO
33983       28      ARTMOTION-AS National IP network of ART
35226       28      RIPPLECOM-AS , IE
35908       28      VPLSNET - Krypt Technologies, US
42973       28      MANCHESTERMETRONET , GB
44814       28      BTEL-BG-AS , BG
44843       28      AMSTEL-AS RIPE database as-set object: 
44895       28      ANTENNA-GARANT-AS , RU
45274       28      WORLDLINK-INTERNATIONAL-TRANSIT-AS-AP W
50710       28      EARTHLINK-AS , IQ
52531       28      DL Informatica Ltda, BR
56910       28      LAMDAHELLIX , GR
 2572       27      MORENET - University of Missouri - dba 
 2721       27      SCLR - CULR, LLC, US
 3308       27      TELIANET-DENMARK , DK
 5078       27      ONENET-AS-1 - Oklahoma Network for Educ
 6407       27      PRIMUS-AS6407 - Primus Telecommunicatio
 6660       27      CWASIA , GB
 9063       27      SAARGATE-AS Nell-Breunig-Allee 6, DE
12732       27      GUTCON-NET Carrier51 GmbH, GutCon GmbH,
13124       27      IBGC , BG
14717       27      ECINET - EZE Castle Integration Inc., U
15589       27      ASN-CLOUDITALIA , IT
15962       27      OSK-DNI Slovakia, SK
16904       27      ARVIG - Arvig Enterprises Inc., US
16942       27      CITIZENS - Citizens Telephone Cooperati
21371       27      EQUINIX-UK-ASN , GB
25160       27      VORBOSS_AS , GB
25513       27      ASN-MGTS-USPD , RU
26523       27      PNB - Province of New Brunswick, CA
26882       27      ABACON-ONENET - Onenetplace, Inc., US
29551       27      HGCOMP-ASN , DE
30688       27      FASTTRACK-NET-AS - FastTrack Communicat
30818       27      IS-ADVANIA-TRANSIT , IS
32489       27      AMANAHA-NEW - Amanah Tech Inc., CA
32869       27      SILVERSTAR-NET - Silver Star Telecom, L
34245       27      MAGNET-AS , IE
35567       27      DASTO-BOSNIA-AS , BA
37183       27      UTANDE, ZW
40028       27      3ZCANADA - 1651884 Ontario Inc., CA
40111       27      PARKERFIBERNET-AS-ROUTE - Parker FiberN
45411       27      APCSNET-AU APCS WIP NETWORK, AU
47148       27      STARNETRANS-AS , RO
51048       27      NEXT-CONNEX , GB
52610       27      Giga Provedor de Internet Ltda, BR
60764       27      TK-TELECOM , RU
61714       27      Core3 Soluções em Tecnologia EIRELLI-ME
61758       27      TOP NET SERVIÇOS LTDA, BR
 2688       26      ATGS-MMD-AS - AT&T Global Network Servi
 5466       26      EIRCOM Internet House, IE
 7529       26      NETIRD NetIRD Inc., JP
 9607       26      BBTOWER BroadBand Tower, Inc., JP
 9821       26      DOST-PH-AP Department of Science and Te
10292       26      CWJ-1 - Cable & Wireless Jamaica, JM
11051       26      CYBERVERSE - Cyberverse, Inc., US
12653       26      KBIHELLAS , GR
13213       26      UK2NET-AS , GB
16491       26      VIASAT - ViaSat, Inc., US
22625       26      FORTRUST-SOLUTIONS - FORTRUST, US
27887       26      WIND Telecom S.A., DO
28360       26      WKVE Asses. em Serviços de Inform. e Te
29066       26      VELIANET-AS Hanau, DE
29084       26      COMNET-AS , BG
29405       26      VNET-AS , SK
34718       26      TPSUZ-AS ----- UPSTREAM: East Telecom -
38880       26      MICRON21-AS-AU-AP Micron21 Melbourne Au
42549       26      BNK-AS , LT
44356       26      EPSILON , GB
48347       26      MTW-AS , RU
48479       26      KUBAN-TELECOM-AS , RU
50010       26      NAWRAS-AS Sultanate of Oman, OM
52840       26      ON TELECOMUNICACOES LTDA, BR
53191       26      PLUG Telecom, BR
54155       26      GREENCLOUD - Green Cloud Technologies,L
55350       26      VSCGT-HK Virtual Switching Consultancy 
57187       26      DATAMENA-ASN , AE
58430       26      NDM-AS-AP TCC Technology Co., Ltd., TH
59469       26      SOLIDO-NETWORKS , DK
 2715       25      Fundacao de Amparo a Pesquisa/RJ, BR
 6459       25      TRANSBEAM - I-2000, Inc., US
 7311       25      FRONTIER - Frontier Networks, CA
 9482       25      ASN-PLATFORM-AP Platform Networks Pty L
 9609       25      EACCESS Ymobile Corporation, JP
 9729       25      IS-AP iAdvantage Limited, HK
 9829       25      BSNL-NIB National Internet Backbone, IN
10089       25      DTNCORP-TH-AP Total Access Communicatio
11432       25      Telium Telecomunicações Ltda, BR
12143       25      STARTEL-AS, TZ
13807       25      GREAT-PLAINS-COMMUNICATIONS - GREAT PLA
14048       25      MEMPHIS-EDU - The University of Memphis
14244       25      NSIHOSTING-EQX-VA - NSI Hosting, US
16083       25      STACK-AS , RU
17506       25      UCOM UCOM Corp., JP
21294       25      IDILIS , RO
21414       25      RUSCOMNET-AS "International Telecommuni
21497       25      UMC-AS , UA
21755       25      RBS-BOSTON - Sidera Networks LLC, US
21976       25      NJEDGE-NET - NJEDge.Net, Inc., US
22302       25      INOC - INOC, LLC, US
24399       25      ABN-PEERING-AS-AP Asia Broadcast Networ
25227       25      ASN-AVANTEL-MSK Located in Moscow, Russ
26652       25      BROADBAND-INC-AS - BroadNet connect, US
27696       25      Multidata S.A., HN
29107       25      SYNAPSE-AS , UA
29170       25      KUJTESA-AS , RS
31036       25      NEWTELESYSTEMS , RU
31122       25      DIGIWEB-AS , IE
33154       25      DQECOM - DQE Communications Network Ser
39356       25      AVANTI-UK-AS , GB
42773       25      KRS-AS , RU
52444       25      Pogliotti & Pogliotti Construcciones S.
52862       25      Redenilf Serviços de Telecomunicações L
53828       25      NITEL - NETWORK INNOVATIONS, INC., US
55666       25      GMEDIA-AS-ID PT Media Sarana Data, ID
57023       25      ORANLINK , ES
62240       25      CLOUVIDER London, United Kingdom, GB
  137       24      ASGARR Consortium GARR, IT
 2529       24      DEMON-INTERNET Now maintained by Cable 
 3361       24      DF-TUKWILA01 - Digital Fortress, Inc., 
 4058       24      CITICTEL-CPC-AS4058 CITIC Telecom Inter
 7543       24      PI-AU Pacific Internet (Australia) Pty 
 8674       24      NETNOD-IX (former D-GIX), SE
10099       24      UNICOM-GLOBAL China Unicom Global, HK
11522       24      SUD-WIREDAS - Greater Sudbury Telecommu
12306       24      PLUSLINE , DE
15685       24      CASABLANCA-AS Internet & Collocation Pr
16164       24      SOHONET-AS Sohonet Transit Network, GB
17727       24      NAPINFO-AS-AP PT. NAP Info Lintas Nusa,
19844       24      GORACK - GoRack LLC, US
21013       24      ITANDTEL-AS Wels,, AT
22177       24      Transit do Brasil S/A, BR
23944       24      SKYBB-AS-AP SKYBroadband SKYCable Corpo
27882       24      Telefónica Celular de Bolivia S.A., BO
28135       24      ASSOCIAÇÃO NACIONAL PARA INCLUSÃO DIGIT
28245       24      NETDIGIT TELECOMUNICACOES LTDA, BR
28640       24      VIPWay Telecomunicações Ltda, BR
29695       24      ALTIBOX_AS Norway, NO
29802       24      HVC-AS - HIVELOCITY VENTURES CORP, US
33650       24      COMCAST-33650 - Comcast Cable Communica
35415       24      WEBZILLA , NL
36149       24      HAWAIIAN-TELCOM - Hawaiian Telcom Servi
37204       24      TELONE, ZW
40387       24      UI-ICCN - University of Illinois, US
45905       24      X-LINK-LIMITED-BD 52/1, Hasan Holding, 
47655       24      LINKINTEL , RU
48161       24      NG-AS Sos. Bucuresti - Ploiesti nr. 42-
56484       24      FASTIRAQ , IQ
61844       24      NEW MASTER PROVEDOR DE ACESSO A INTERNE
   42       23      WOODYNET-1 - WoodyNet, US
  559       23      SWITCH Peering requests: <peering@switc
 5396       23      MC-LINK , IT
 5742       23      CCINET - Consolidated Communications, I
 6805       23      TDDE-ASN1 , DE
 7055       23      QIS - Quantum Internet Services, Inc., 
 7725       23      COMCAST-7725 - Comcast Cable Communicat
 8047       23      GCI - GENERAL COMMUNICATION, INC., US
 9031       23      EDPNET , BE
 9066       23      BCC Heinrich-Nordhoff-Strasse 69, DE
 9125       23      ORIONTELEKOM-AS , RS
 9416       23      MULTIMEDIA-AS-AP Hoshin Multimedia Cent
 9918       23      KGTNET-TW KG Telecommunication Co., Ltd
10625       23      IDC-RTS - Interactive Data RTS, US
12322       23      PROXAD , FR
13367       23      COMCAST-13367 - Comcast Cable Communica
15377       23      FREGAT-AS , UA
15525       23      MEO-EMPRESAS , PT
21274       23      BAS-NET-AS , BY
21413       23      ENVIA-TEL-AS D-09114 Chemnitz, DE
21485       23      FOILHAT , SE
24235       23      CHIEF-TW-AS-AP CHIEF Telecom Inc., TW
24247       23      PNAPSIN001-AS-AP Internap Network Servi
24955       23      UBN-AS , RU
25394       23      MK-NETZDIENSTE-AS , DE
26410       23      PTPA - Point To Point Access.Com, US
29125       23      TATINT-AS , RU
29691       23      NINE , CH
31257       23      ORIONNET-NET , RU
31863       23      DACEN-2 - Centrilogic, Inc., US
36423       23      SAN-JUAN-CABLE - San Juan Cable, LLC, P
36873       23      VNL1-AS, NG
39608       23      LANETUA-AS , UA
44682       23      TELECOMROMANIA Strada Peroni nr. 45, RO
