Nasdaq Traded|Symbol|Security Name|Listing Exchange|Market Category|ETF|Round Lot Size|Test Issue|Financial Status|CQS Symbol|NASDAQ Symbol|NextShares
Y|EGC|Energy XXI Gulf Coast, Inc. - Common Stock|Q|Q|N|100|N|N||EGC|N
Y|EGF|Blackrock Enhanced Government Fund, Inc. Common Stock|N| |N|100|N||EGF|EGF|N
Y|EGHT|8x8 Inc Common Stock|N| |N|100|N||EGHT|EGHT|N
Y|EGI|Entree Resources Ltd. Common Stock|A| |N|100|N||EGI|EGI|N
Y|EGIF|Eagle Growth and Income Opportunities Fund Common Shares of Beneficial Interest|N| |N|100|N||EGIF|EGIF|N
Y|EGL|Engility Holdings, Inc. Common Stock|N| |N|100|N||EGL|EGL|N
Y|EGLE|Eagle Bulk Shipping Inc. - Common Stock|Q|Q|N|100|N|N||EGLE|N
Y|EGLT|Egalet Corporation - Common Stock|Q|G|N|100|N|D||EGLT|N
Y|EGN|Energen Corporation Common Stock|N| |N|100|N||EGN|EGN|N
Y|EGO|Eldorado Gold Corporation Ordinary Shares|N| |N|100|N||EGO|EGO|N
Y|EGOV|NIC Inc. - Common Stock|Q|Q|N|100|N|N||EGOV|N
Y|EGP|EastGroup Properties, Inc. Common Stock|N| |N|100|N||EGP|EGP|N
Y|EGPT|VanEck Vectors Egypt Index ETF|P| |Y|100|N||EGPT|EGPT|N
Y|EGRX|Eagle Pharmaceuticals, Inc. - Common Stock|Q|G|N|100|N|N||EGRX|N
Y|EGY|VAALCO Energy, Inc.  Common Stock|N| |N|100|N||EGY|EGY|N
Y|EHC|Encompass Health Corporation Common Stock|N| |N|100|N||EHC|EHC|N
Y|EHI|Western Asset Global High Income Fund Inc Common Stock|N| |N|100|N||EHI|EHI|N
Y|EHIC|eHi Car Services Limited American Depositary Shares|N| |N|100|N||EHIC|EHIC|N
Y|EHT|Eaton Vance High Income 2021 Target Term Trust Common Shares of Beneficial Interest|N| |N|100|N||EHT|EHT|N
Y|EHTH|eHealth, Inc. - Common Stock|Q|Q|N|100|N|N||EHTH|N
Y|EIA|Eaton Vance California Municipal Bond Fund II Common Shares of Beneficial Interest, $.01 par value|A| |N|100|N||EIA|EIA|N
Y|EIDO|iShares MSCI Indonesia ETF|P| |Y|100|N||EIDO|EIDO|N
Y|EIG|Employers Holdings Inc Common Stock|N| |N|100|N||EIG|EIG|N
Y|EIGI|Endurance International Group Holdings, Inc. - Common Stock|Q|Q|N|100|N|N||EIGI|N
Y|EIGR|Eiger BioPharmaceuticals, Inc. - Common Stock|Q|G|N|100|N|N||EIGR|N
Y|EIM|Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value|A| |N|100|N||EIM|EIM|N
Y|EIO|Eaton Vance Ohio Municipal Bond Fund Common Shared of Befeficial Interest, $.01 par value|A| |N|100|N||EIO|EIO|N
Y|EIP|Eaton Vance Pennsylvania Municipal Bond Fund Common Shares of Befeficial Interest, $.01 par value|A| |N|100|N||EIP|EIP|N
Y|EIRL|iShares Trust iShares MSCI Ireland ETF|P| |Y|100|N||EIRL|EIRL|N
Y|EIS|iShares Inc iShares MSCI Israel ETF|P| |Y|100|N||EIS|EIS|N
Y|EIV|Eaton Vance Municipal Bond Fund II Common Shares of Beneficial Interest, $.01 Par Value|A| |N|100|N||EIV|EIV|N
Y|EIX|Edison International Common Stock|N| |N|100|N||EIX|EIX|N
Y|EKAR|Innovation Shares NextGen Vehicles & Technology ETF|P| |Y|100|N||EKAR|EKAR|N
Y|EKSO|Ekso Bionics Holdings, Inc. - Common Stock|Q|S|N|100|N|N||EKSO|N
Y|EL|Estee Lauder Companies, Inc. (The) Common Stock|N| |N|100|N||EL|EL|N
Y|ELC|Entergy Louisiana, Inc. Collateral Trust Mortgage Bonds, 4.875 % Series due September 1, 2066|N| |N|100|N||ELC|ELC|N
Y|ELD|WisdomTree Emerging Markets Local Debt Fund|P| |Y|100|N||ELD|ELD|N
Y|ELEC|Electrum Special Acquisition Corporation - Ordinary Shares|Q|S|N|100|N|N||ELEC|N
Y|ELECU|Electrum Special Acquisition Corporation - Unit|Q|S|N|100|N|N||ELECU|N
Y|ELECW|Electrum Special Acquisition Corporation - Warrants|Q|S|N|100|N|N||ELECW|N
Y|ELF|e.l.f. Beauty, Inc. Common Stock|N| |N|100|N||ELF|ELF|N
Y|ELGX|Endologix, Inc. - Common Stock|Q|Q|N|100|N|N||ELGX|N
Y|ELJ|Entergy Louisiana, Inc. First Mortgage Bonds, 5.25% Series due July 1, 2052|N| |N|100|N||ELJ|ELJ|N
Y|ELLI|Ellie Mae, Inc. Common Stock|N| |N|100|N||ELLI|ELLI|N
Y|ELLO|Ellomay Capital Ltd Ordinary Shares (Israel)|A| |N|100|N||ELLO|ELLO|N
Y|ELMD|Electromed, Inc. Common Stock|A| |N|100|N||ELMD|ELMD|N
Y|ELON|Echelon Corporation - Common Stock|Q|Q|N|100|N|N||ELON|N
Y|ELOX|Eloxx Pharmaceuticals, Inc. - Common Stock|Q|G|N|100|N|N||ELOX|N
Y|ELP|Companhia Paranaense de Energia (COPEL) Common Stock|N| |N|100|N||ELP|ELP|N
Y|ELS|Equity Lifestyle Properties, Inc. Common Stock|N| |N|100|N||ELS|ELS|N
Y|ELSE|Electro-Sensors, Inc. - Common Stock|Q|S|N|100|N|N||ELSE|N
Y|ELTK|Eltek Ltd. - Ordinary Shares|Q|S|N|100|N|N||ELTK|N
Y|ELU|Entergy Louisiana, Inc. First Mortgage Bonds, 4.70% Series due June 1, 2063|N| |N|100|N||ELU|ELU|N
Y|ELVT|Elevate Credit, Inc. Common Stock|N| |N|100|N||ELVT|ELVT|N
Y|ELY|Callaway Golf Company Common Stock|N| |N|100|N||ELY|ELY|N
Y|EMAG|VanEck Vectors Emerging Markets Aggregate Bond ETF|P| |Y|100|N||EMAG|EMAG|N
Y|EMAN|eMagin Corporation Common Stock|A| |N|100|N||EMAN|EMAN|N
Y|EMB|iShares J.P. Morgan USD Emerging Markets Bond ETF|Q|G|Y|100|N|N||EMB|N
Y|EMBH|iShares Interest Rate Hedged Emerging Markets Bond ETF|P| |Y|100|N||EMBH|EMBH|N
Y|EMBU|Direxion Funds Direxion Daily Emerging Markets Bond Bull 3X Shares|P| |Y|100|N||EMBU|EMBU|N
Y|EMCB|WisdomTree Emerging Markets Corporate Bond Fund|Q|G|Y|100|N|N||EMCB|N
Y|EMCF|Emclaire Financial Corp - Common Stock|Q|S|N|100|N|N||EMCF|N
Y|EMCG|WisdomTree Emerging Markets Consumer Growth Fund|Q|G|Y|100|N|N||EMCG|N
Y|EMCI|EMC Insurance Group Inc. - Common Stock|Q|Q|N|100|N|N||EMCI|N
Y|EMD|Western Asset Emerging Markets Debt Fund Inc Common Stock|N| |N|100|N||EMD|EMD|N
Y|EMDV|ProShares MSCI Emerging Markets Dividend Growers ETF|Z| |Y|100|N||EMDV|EMDV|N
Y|EME|EMCOR Group, Inc. Common Stock|N| |N|100|N||EME|EME|N
Y|EMEM|Virtus Glovista Emerging  Markets ETF|P| |Y|100|N||EMEM|EMEM|N
Y|EMES|Emerge Energy Services LP Common Units representing Limited Partner Interests|N| |N|100|N||EMES|EMES|N
Y|EMF|Templeton Emerging Markets Fund Common Stock|N| |N|100|N||EMF|EMF|N
Y|EMFM|Global X Next Emerging & Frontier ETF|P| |Y|100|N||EMFM|EMFM|N
Y|EMGF|iShares Edge MSCI Multifactor Emerging Markets ETF|Z| |Y|100|N||EMGF|EMGF|N
Y|EMHY|iShares Emerging Markets High Yield Bond ETF|Z| |Y|100|N||EMHY|EMHY|N
Y|EMI|Eaton Vance Michigan Municipal Income Trust Shares of Beneficial Interest|A| |N|100|N||EMI|EMI|N
Y|EMIF|iShares S&P Emerging Markets Infrastructure Index Fund|Q|G|Y|100|N|N||EMIF|N
Y|EMIH|Xtrackers Emerging Markets Bond - Interest Rate Hedged ETF|Z| |Y|100|N||EMIH|EMIH|N
Y|EMITF|Elbit Imaging Ltd. - Ordinary Shares|Q|Q|N|100|N|N||EMITF|N
Y|EMJ|Eaton Vance New Jersey Municipal Bond Fund Common Shres of Beneficial Interest, $.01 par value|A| |N|100|N||EMJ|EMJ|N
Y|EMKR|EMCORE Corporation - Common Stock|Q|G|N|100|N|N||EMKR|N
Y|EML|Eastern Company (The) - Common Stock|Q|G|N|100|N|N||EML|N
Y|EMLC|VanEck Vectors J.P. Morgan EM Local Currency Bond ETF|P| |Y|100|N||EMLC|EMLC|N
Y|EMLP|First Trust North American Energy Infrastructure Fund|P| |Y|100|N||EMLP|EMLP|N
Y|EMMS|Emmis Communications Corporation - Class A Common Stock|Q|Q|N|100|N|N||EMMS|N
Y|EMN|Eastman Chemical Company Common Stock|N| |N|100|N||EMN|EMN|N
Y|EMO|ClearBridge Energy MLP Opportunity Fund Inc. Common Stock|N| |N|100|N||EMO|EMO|N
Y|EMP|Entergy Mississippi, Inc. First Mortgage Bonds, 4.90% Series Due October 1, 2066|N| |N|100|N||EMP|EMP|N
Y|EMQQ|Emerging Markets Internet and Ecommerce ETF (The)|P| |Y|100|N||EMQQ|EMQQ|N
Y|EMR|Emerson Electric Company Common Stock|N| |N|100|N||EMR|EMR|N
Y|EMSH|ProShares Short Term USD Emerging Markets Bond ETF|Z| |Y|100|N||EMSH|EMSH|N
Y|EMTL|SPDR DoubleLine Emerging Markets Fixed Income ETF|Z| |Y|100|N||EMTL|EMTL|N
Y|EMTY|ProShares Decline of the Retail Store ETF|P| |Y|100|N||EMTY|EMTY|N
Y|EMX|EMX Royalty Corporation Common Shares (Canada)|A| |N|100|N||EMX|EMX|N
Y|EMXC|iShares MSCI Emerging Markets ex China ETF|Q|G|Y|100|N|N||EMXC|N
Y|ENB|Enbridge Inc Common Stock|N| |N|100|N||ENB|ENB|N
Y|ENBA|Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078|N| |N|100|N||ENBA|ENBA|N
Y|ENBL|Enable Midstream Partners, LP Common Units representing limited partner interests|N| |N|100|N||ENBL|ENBL|N
Y|ENDP|Endo International plc - Ordinary Shares|Q|Q|N|100|N|N||ENDP|N
Y|ENFC|Entegra Financial Corp. - Common Stock|Q|G|N|100|N|N||ENFC|N
Y|ENFR|Alerian Energy Infrastructure ETF|P| |Y|100|N||ENFR|ENFR|N
Y|ENG|ENGlobal Corporation - Common Stock|Q|S|N|100|N|D||ENG|N
Y|ENIA|Enel Americas S.A. American Depositary Shares|N| |N|100|N||ENIA|ENIA|N
Y|ENIC|Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock)|N| |N|100|N||ENIC|ENIC|N
Y|ENJ|Entergy New Orleans, LLC First Mortgage Bonds, 5.0% Series due December 1, 2052|N| |N|100|N||ENJ|ENJ|N
Y|ENLC|EnLink Midstream, LLC Common Units representing Limited Partner Interests|N| |N|100|N||ENLC|ENLC|N
Y|ENLK|EnLink Midstream Partners, LP Common Units Representing Limited Partnership Interests|N| |N|100|N||ENLK|ENLK|N
Y|ENO|Entergy New Orleans, LLC First Mortgage Bonds, 5.50% Series due April 1, 2066|N| |N|100|N||ENO|ENO|N
Y|ENOR|iShares Inc iShares MSCI Norway ETF|Z| |Y|100|N||ENOR|ENOR|N
Y|ENPH|Enphase Energy, Inc. - Common Stock|Q|G|N|100|N|N||ENPH|N
Y|ENR|Energizer Holdings, Inc. Common Stock|N| |N|100|N||ENR|ENR|N
Y|ENS|Enersys Common Stock|N| |N|100|N||ENS|ENS|N
Y|ENSG|The Ensign Group, Inc. - Common Stock|Q|Q|N|100|N|N||ENSG|N
Y|ENSV|Enservco Corporation Common Stock|A| |N|100|N||ENSV|ENSV|N
Y|ENT|Global Eagle Entertainment Inc. - Common Stock|Q|S|N|100|N|N||ENT|N
Y|ENTA|Enanta Pharmaceuticals, Inc. - Common Stock|Q|Q|N|100|N|N||ENTA|N
Y|ENTG|Entegris, Inc. - Common Stock|Q|Q|N|100|N|N||ENTG|N
Y|ENTR|ERShares Entrepreneur 30 ETF|P| |Y|100|N||ENTR|ENTR|N
Y|ENV|Envestnet, Inc Common Stock|N| |N|100|N||ENV|ENV|N
Y|ENVA|Enova International, Inc. Common Stock|N| |N|100|N||ENVA|ENVA|N
Y|ENX|Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value|A| |N|100|N||ENX|ENX|N
Y|ENY|Guggenheim Canadian Energy Income ETF|P| |Y|100|N||ENY|ENY|N
Y|ENZ|Enzo Biochem, Inc. Common Stock ($0.01 Par Value)|N| |N|100|N||ENZ|ENZ|N
Y|ENZL|iShares MSCI New Zealand ETF|Q|G|Y|100|N|N||ENZL|N
Y|EOCC|Enel Generacion Chile S.A. American Depositary Shares (Each representing 30 shares of Common Stock)|N| |N|100|N||EOCC|EOCC|N
Y|EOD|Wells Fargo Global Dividend Opportunity Fund|N| |N|100|N||EOD|EOD|N
Y|EOG|EOG Resources, Inc. Common Stock|N| |N|100|N||EOG|EOG|N
Y|EOI|Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest|N| |N|100|N||EOI|EOI|N
Y|EOLS|Evolus, Inc. - Common Stock|Q|G|N|100|N|N||EOLS|N
Y|EOS|Eaton Vance Enhance Equity Income Fund II Common Stock|N| |N|100|N||EOS|EOS|N
Y|EOT|Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST|N| |N|100|N||EOT|EOT|N
Y|EP$C|El Paso Corporation Preferred Stock|N| |N|100|N||EPpC|EP-C|N
Y|EPAM|EPAM Systems, Inc. Common Stock|N| |N|100|N||EPAM|EPAM|N
Y|EPAY|Bottomline Technologies, Inc. - Common Stock|Q|Q|N|100|N|N||EPAY|N
Y|EPC|Edgewell Personal Care Company Common Stock|N| |N|100|N||EPC|EPC|N
Y|EPD|Enterprise Products Partners L.P. Common Stock|N| |N|100|N||EPD|EPD|N
Y|EPE|EP Energy Corporation Class A Common Stock|N| |N|100|N||EPE|EPE|N
Y|EPHE|iShares MSCI Philippines ETF|P| |Y|100|N||EPHE|EPHE|N
Y|EPI|WisdomTree India Earnings Fund|P| |Y|100|N||EPI|EPI|N
Y|EPIX|ESSA Pharma Inc. - Common Stock|Q|S|N|100|N|D||EPIX|N
Y|EPM|Evolution Petroleum Corporation, Inc. Common Stock|A| |N|100|N||EPM|EPM|N
Y|EPOL|iShares Trust iShares MSCI Poland ETF|P| |Y|100|N||EPOL|EPOL|N
Y|EPP|iShares MSCI Pacific Ex-Japan Index Fund|P| |Y|100|N||EPP|EPP|N
Y|EPR|EPR Properties Common Stock|N| |N|100|N||EPR|EPR|N
Y|EPR$C|EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares|N| |N|100|N||EPRpC|EPR-C|N
Y|EPR$E|EPR Properties Series E Cumulative Conv Pfd Shs Ser E|N| |N|100|N||EPRpE|EPR-E|N
Y|EPR$G|EPR Properties 5.750% Series G Cumulative Redeemable Preferred Shares|N| |N|100|N||EPRpG|EPR-G|N
Y|EPRF|Innovator S&P High Quality Preferred ETF|Z| |Y|100|N||EPRF|EPRF|N
Y|EPS|WisdomTree U.S. Earnings 500 Fund|P| |Y|100|N||EPS|EPS|N
Y|EPU|iShares Trust iShares MSCI Peru ETF|P| |Y|100|N||EPU|EPU|N
Y|EPV|ProShares UltraShort FTSE Europe ETF|P| |Y|100|N||EPV|EPV|N
Y|EPZM|Epizyme, Inc. - Common Stock|Q|Q|N|100|N|N||EPZM|N
Y|EQAL|PowerShares Russell 1000 Equal Weight POrtfolio|P| |Y|100|N||EQAL|EQAL|N
Y|EQBK|Equity Bancshares, Inc. - Class A Common Stock|Q|Q|N|100|N|N||EQBK|N
Y|EQC|Equity Commonwealth Common Shares of Beneficial Interest|N| |N|100|N||EQC|EQC|N
Y|EQC$D|Equity Commonwealth 6.50% Pfd Conv Shs Ser D|N| |N|100|N||EQCpD|EQC-D|N
Y|EQFN|Equitable Financial Corp. - Common Stock|Q|S|N|100|N|N||EQFN|N
Y|EQGP|EQT GP Holdings, LP Common Units representing limited partner interests|N| |N|100|N||EQGP|EQGP|N
Y|EQIX|Equinix, Inc. - Common Stock|Q|Q|N|100|N|N||EQIX|N
Y|EQL|ALPS Equal Sector Weight ETF|P| |Y|100|N||EQL|EQL|N
Y|EQLT|Workplace Equality Portfolio ETF|P| |Y|100|N||EQLT|EQLT|N
Y|EQM|EQT Midstream Partners, LP Common Units representing Limited Partner Interests|N| |N|100|N||EQM|EQM|N
Y|EQR|Equity Residential Common Shares of Beneficial Interest|N| |N|100|N||EQR|EQR|N
Y|EQRR|ProShares Equities for Rising Rates ETF|Q|G|Y|100|N|N||EQRR|N
Y|EQS|Equus Total Return, Inc. Common Stock|N| |N|100|N||EQS|EQS|N
Y|EQT|EQT Corporation Common Stock|N| |N|100|N||EQT|EQT|N
Y|EQWL|PowerShares Russell Top 200 Equal Weight Portfolio|P| |Y|100|N||EQWL|EQWL|N
Y|EQWM|PowerShares Russell Midcap Equal Weight Portfolio|P| |Y|100|N||EQWM|EQWM|N
Y|EQWS|PowerShares Russell 2000 Equal Weight Portfolio|P| |Y|100|N||EQWS|EQWS|N
Y|ERA|Era Group, Inc. Common Stock|N| |N|100|N||ERA|ERA|N
Y|ERC|Wells Fargo Multi-Sector Income Fund Common Stock, no par value|A| |N|100|N||ERC|ERC|N
Y|ERF|Enerplus Corporation Common Stock|N| |N|100|N||ERF|ERF|N
Y|ERGF|iShares Edge MSCI Multifactor Energy ETF|Z| |Y|100|N||ERGF|ERGF|N
Y|ERH|Wells Fargo Utilities and High Income Fund|A| |N|100|N||ERH|ERH|N
Y|ERI|Eldorado Resorts, Inc. - Common Stock|Q|Q|N|100|N|N||ERI|N
Y|ERIC|Ericsson - ADS each representing 1 underlying Class B share|Q|Q|N|100|N|N||ERIC|N
Y|ERIE|Erie Indemnity Company - Class A Common Stock|Q|Q|N|100|N|N||ERIE|N
Y|ERII|Energy Recovery, Inc. - Common Stock|Q|Q|N|100|N|N||ERII|N
Y|ERJ|Embraer S.A. Common Stock|N| |N|100|N||ERJ|ERJ|N
Y|ERM|EquityCompass Risk Manager ETF|P| |Y|100|N||ERM|ERM|N
Y|EROS|Eros International PLC A Ordinary Shares|N| |N|100|N||EROS|EROS|N
Y|ERUS|iShares MSCI iShares MSCI Russia ETF |P| |Y|100|N||ERUS|ERUS|N
Y|ERX|Direxion Energy Bull 3X Shares|P| |Y|100|N||ERX|ERX|N
Y|ERY|Direxion Daily Energy Bear 3X Shares|P| |Y|100|N||ERY|ERY|N
Y|ERYP|Erytech Pharma S.A. - American Depositary Shares|Q|Q|N|100|N|N||ERYP|N
Y|ES|Eversource Energy (D/B/A) Common Stock|N| |N|100|N||ES|ES|N
Y|ESBA|Empire State Realty OP, L.P. Series ES Operating Partnership Units Representing Limited Partnership Interests|P| |N|100|N||ESBA|ESBA|N
Y|ESBK|Elmira Savings Bank NY (The) - Common Stock|Q|S|N|100|N|N||ESBK|N
Y|ESCA|Escalade, Incorporated - Common Stock|Q|G|N|100|N|N||ESCA|N
Y|ESE|ESCO Technologies Inc. Common Stock|N| |N|100|N||ESE|ESE|N
Y|ESEA|Euroseas Ltd. - Common Stock|Q|S|N|100|N|N||ESEA|N
Y|ESES|Eco-Stim Energy Solutions, Inc. - Common Stock|Q|S|N|100|N|N||ESES|N
Y|ESG|FlexShares STOXX US ESG Impact Index Fund|Q|G|Y|100|N|N||ESG|N
Y|ESGD|iShares MSCI EAFE ESG Optimized ETF|Q|G|Y|100|N|N||ESGD|N
Y|ESGE|iShares MSCI EM ESG Optimized ETF|Q|G|Y|100|N|N||ESGE|N
Y|ESGF|Oppenheimer Revenue Weighted ETF Trust Oppenheimer Global ESG Revenue ETF|P| |Y|100|N||ESGF|ESGF|N
Y|ESGG|FlexShares STOXX Global ESG Impact Index Fund|Q|G|Y|100|N|N||ESGG|N
Y|ESGL|Oppenheimer Revenue Weighted ETF Trust Oppenheimer ESG Revenue ETF|P| |Y|100|N||ESGL|ESGL|N
Y|ESGN|Columbia Sustainable International Equity Income ETF|P| |Y|100|N||ESGN|ESGN|N
Y|ESGR|Enstar Group Limited - Ordinary Shares|Q|Q|N|100|N|N||ESGR|N
Y|ESGS|Columbia Sustainable U.S. Equity Income ETF|P| |Y|100|N||ESGS|ESGS|N
Y|ESGU|iShares MSCI USA ESG Optimized ETF|Q|G|Y|100|N|N||ESGU|N
Y|ESGW|Columbia Sustainable Global Equity Income ETF|P| |Y|100|N||ESGW|ESGW|N
Y|ESIO|Electro Scientific Industries, Inc. - Common Stock|Q|Q|N|100|N|N||ESIO|N
Y|ESL|Esterline Technologies Corporation Common Stock|N| |N|100|N||ESL|ESL|N
Y|ESLT|Elbit Systems Ltd. - Ordinary Shares|Q|Q|N|100|N|N||ESLT|N
Y|ESML|iShares MSCI USA Small-Cap ESG Optimized ETF |Z| |Y|100|N||ESML|ESML|N
Y|ESNC|EnSync, Inc. Common Stock|A| |N|100|N||ESNC|ESNC|N
Y|ESND|Essendant Inc. - Common Stock|Q|Q|N|100|N|N||ESND|N
Y|ESNT|Essent Group Ltd. Common Shares|N| |N|100|N||ESNT|ESNT|N
Y|ESP|Espey Mfg. & Electronics Corp. Common Stock|A| |N|100|N||ESP|ESP|N
Y|ESPR|Esperion Therapeutics, Inc. - Common Stock|Q|G|N|100|N|N||ESPR|N
Y|ESQ|Esquire Financial Holdings, Inc. - Common Stock|Q|S|N|100|N|N||ESQ|N
Y|ESRT|Empire State Realty Trust, Inc. Class A Common Stock|N| |N|100|N||ESRT|ESRT|N
Y|ESRX|Express Scripts Holding Company - Common Stock|Q|Q|N|100|N|N||ESRX|N
Y|ESS|Essex Property Trust, Inc. Common Stock|N| |N|100|N||ESS|ESS|N
Y|ESSA|ESSA Bancorp, Inc. - common stock|Q|Q|N|100|N|N||ESSA|N
Y|ESTE|Earthstone Energy, Inc. Class A Common Stock|N| |N|100|N||ESTE|ESTE|N
Y|ESTR|Estre Ambiental, Inc. - Ordinary Shares|Q|G|N|100|N|N||ESTR|N
Y|ESTRW|Estre Ambiental, Inc. - Warrants|Q|G|N|100|N|N||ESTRW|N
Y|ESV|Ensco plc Class A Ordinary Shares|N| |N|100|N||ESV|ESV|N
Y|ESXB|Community Bankers Trust Corporation. - Common Stock|Q|S|N|100|N|N||ESXB|N
Y|ETB|Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest|N| |N|100|N||ETB|ETB|N
Y|ETE|Energy Transfer Equity, L.P. Energy Transfer Equity, L.P. Common Units representing Limited Partnership interests|N| |N|100|N||ETE|ETE|N
Y|ETFC|E*TRADE Financial Corporation - Common Stock|Q|Q|N|100|N|N||ETFC|N
Y|ETG|Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest|N| |N|100|N||ETG|ETG|N
Y|ETH|Ethan Allen Interiors Inc. Common Stock|N| |N|100|N||ETH|ETH|N
Y|ETHO|Etho Climate Leadership U.S. ETF|P| |Y|100|N||ETHO|ETHO|N
Y|ETJ|Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest|N| |N|100|N||ETJ|ETJ|N
Y|ETM|Entercom Communications Corp. Common Stock|N| |N|100|N||ETM|ETM|N
Y|ETN|Eaton Corporation, PLC Ordinary Shares|N| |N|100|N||ETN|ETN|N
Y|ETO|Eaton Vance Tax-Advantage Global Dividend Opp Common Stock|N| |N|100|N||ETO|ETO|N
Y|ETP|Energy Transfer Partners, L.P. Common Units representing limited partner interests|N| |N|100|N||ETP|ETP|N
Y|ETP$C|Energy Transfer Partners, L.P. Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units|N| |N|100|N||ETPpC|ETP-C|N
Y|ETR|Entergy Corporation Common Stock|N| |N|100|N||ETR|ETR|N
Y|ETSY|Etsy, Inc. - Common Stock|Q|Q|N|100|N|N||ETSY|N
Y|ETV|Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest|N| |N|100|N||ETV|ETV|N
Y|ETW|Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest|N| |N|100|N||ETW|ETW|N
Y|ETX|Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest|N| |N|100|N||ETX|ETX|N
Y|ETY|Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,|N| |N|100|N||ETY|ETY|N
Y|EUDG|WisdomTree Europe Quality Dividend Growth Fund|P| |Y|100|N||EUDG|EUDG|N
Y|EUDV|ProShares MSCI Europe Dividend Growers ETF|Z| |Y|100|N||EUDV|EUDV|N
Y|EUFL|Direxion Daily European Financials Bull 2X Shares|P| |Y|100|N||EUFL|EUFL|N
Y|EUFN|iShares MSCI Europe Financials Sector Index Fund|Q|G|Y|100|N|N||EUFN|N
Y|EUFX|ProShares Short Euro|P| |Y|100|N||EUFX|EUFX|N
Y|EUM|ProShares Short MSCI Emerging Markets|P| |Y|100|N||EUM|EUM|N
Y|EUMV|iShares Edge MSCI Min Vol Europe ETF|P| |Y|100|N||EUMV|EUMV|N
Y|EUO|ProShares UltraShort Euro|P| |Y|100|N||EUO|EUO|N
Y|EURL|Direxion Daily FTSE Europe Bull 3x Shares|P| |Y|100|N||EURL|EURL|N
Y|EURN|Euronav NV Ordinary Shares|N| |N|100|N||EURN|EURN|N
Y|EURZ|Xtrackers Eurozone Equity ETF|Z| |Y|100|N||EURZ|EURZ|N
Y|EUSA|iShares MSCI USA Equal Weighted ETF|P| |Y|100|N||EUSA|EUSA|N
Y|EUSC|WisdomTree Europe Hedged SmallCap Equity Fund|P| |Y|100|N||EUSC|EUSC|N
Y|EUXL|Direxion Daily EURO STOXX 50? Bull 3X Shares|P| |Y|100|N||EUXL|EUXL|N
Y|EV|Eaton Vance Corporation Common Stock|N| |N|100|N||EV|EV|N
Y|EVA|Enviva Partners, LP Common units representing limited partner interests|N| |N|100|N||EVA|EVA|N
Y|EVBG|Everbridge, Inc. - Common Stock|Q|G|N|100|N|N||EVBG|N
Y|EVBN|Evans Bancorp, Inc. Common Stock|A| |N|100|N||EVBN|EVBN|N
Y|EVC|Entravision Communications Corporation Common Stock|N| |N|100|N||EVC|EVC|N
Y|EVEP|EV Energy Partners, L.P. - common units representing limited partnership interest|Q|S|N|100|N|G||EVEP|N
Y|EVF|Eaton Vance Senior Income Trust Common Stock|N| |N|100|N||EVF|EVF|N
Y|EVFM|Evofem Biosciences, Inc. - Common Stock|Q|S|N|100|N|N||EVFM|N
Y|EVFTC|Eaton Vance NextShares Trust II - Eaton Vance Floating-Rate NextShares|Q|G|N|100|N|N||EVFTC|Y
Y|EVG|Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest|N| |N|100|N||EVG|EVG|N
Y|EVGBC|Eaton Vance NextShares Trust - Eaton Vance Global Income Builder NextShares|Q|G|N|100|N|N||EVGBC|Y
Y|EVGN|Evogene Ltd. - Ordinary Shares|Q|G|N|100|N|N||EVGN|N
Y|EVH|Evolent Health, Inc Class A Common Stock|N| |N|100|N||EVH|EVH|N
Y|EVHC|Envision Healthcare Corporation Common Stock|N| |N|100|N||EVHC|EVHC|N
Y|EVI|EnviroStar, Inc.  Common Stock|A| |N|100|N||EVI|EVI|N
Y|EVIX|VelocityShares 1x Long VSTOXX Futures ETN|Z| |Y|100|N||EVIX|EVIX|N
Y|EVJ|Eaton Vance New Jersey Municipal Income Trust Shares of Beneficial Interest|A| |N|100|N||EVJ|EVJ|N
Y|EVK|Ever-Glory International Group, Inc. - Common Stock|Q|G|N|100|N|N||EVK|N
