{5EEFEBDB-E90C-423A-8ABF-0241E7C5B87D}  Windows Firewall Service
{1DE130E1-C026-4CBF-BA0F-AB608E40AEEA}  Microsoft-Windows-BitLocker-Driver-Performance
{1E39B4CE-D1E6-46CE-B65B-5AB05D6CC266}  Microsoft-Windows-Networking-RealTimeCommunication
{1E9A4978-78C2-441E-8858-75B5D1326BC5}  Microsoft-Windows-NetworkProvider
{1ED6976A-4171-4764-B415-7EA08BC46C51}  Microsoft-User Experience Virtualization-App Agent
{1EDEEE53-0AFE-4609-B846-D8C0B2075B1F}  Microsoft-Windows-WMI
{1EE3ABDB-C1FC-4B43-9E56-11064ABBA866}  Microsoft-Windows-XAudio2
{1F678132-5938-4686-9FDC-C8FF68F15C85}  Schannel
{1F84007D-19CE-4B15-9E81-8A3DD8EB9ECB}  Microsoft-Windows-Shell-ZipFolder
{206F6DEA-D3C5-4D10-BC72-989F03C8B84B}  Microsoft-Windows-Wininit
{21B7C16E-C5AF-4A69-A74A-7245481C1B97}  Microsoft-Windows-WPD-MTPClassDriver
{21D79DB0-8E03-41CD-9589-F3EF7001A92A}  Microsoft-User Experience Virtualization-IPC
{22B6D684-FA63-4578-87C9-EFFCBE6643C7}  Microsoft-Windows-WebdavClient-LookupServiceTrigger
{22FB2CD6-0E7B-422B-A0C7-2FAD1FD0E716}  Microsoft-Windows-Kernel-Process
{239CFB83-CBB7-4BBC-A02E-9BDB496AA7C2}  Microsoft-Windows-WlanConn
{23B8D46B-67DD-40A3-B636-D43E50552C6D}  Microsoft-Windows-User Device Registration
{245F975D-909D-49ED-B8F9-9A75691D6B6B}  Microsoft-Windows-URLMon
{24989972-0967-4E21-A926-93854033638E}  Microsoft-Windows-RRAS
{25B99A4C-2F80-4FCD-982D-69CD1F77BADF}  Microsoft-Windows-MCCS-NetworkHelper
{2683B597-3CCA-410A-97FE-6F7EE3D09B94}  Microsoft-Windows-UserAccountControl
{271C5228-C3FE-4E47-831F-48C3652CE5AC}  Microsoft-Windows-DxpTaskSyncProvider
{272A979B-34B5-48EC-94F5-7225A59C85A0}  Microsoft-Windows-RPC-Proxy-LBS
{27A8C1E2-EB19-463E-8424-B399DF27A216}  Microsoft-Windows-TerminalServices-PnPDevices
{27E76321-1E5B-4A82-BA0C-26E978F15072}  Microsoft-Windows-PrintDialogs
{28058203-D394-4AFC-B2A6-2F9155A3BB95}  Microsoft-Windows-Proximity-Common
{287D59B6-79BA-4741-A08B-2FEDEEDE6435}  Microsoft-Windows-EDP-Audit-TCB
{289DB023-6864-4CBF-BD25-4809E8213CD5}  Microsoft-Windows-RemoteDesktopServices-RemoteFX-Synth3dvsp
{28AA95BB-D444-4719-A36F-40462168127E}  Microsoft-Windows-TerminalServices-ClientActiveXCore
{28CB46C7-4003-4E50-8BD9-442086762D12}  Microsoft-AppV-Client-StreamingUX
{28E25B07-C47F-473D-8B24-2E171CCA808A}  Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task
{292A52C4-FA27-4461-B526-54A46430BD54}  Microsoft-Windows-Dwm-Api
{2992E9CF-4F99-48F5-A0B6-B99B11CD387D}  Microsoft-Windows-P2PIMSvc
{29D13147-1C2E-48EC-9994-E29DFE496EB3}  Microsoft-Windows-RasServer
{2A274310-42D5-4019-B816-E4B8C7ABE95C}  Microsoft-Windows-ReadyBoostDriver
{2A45D52E-BBF3-4843-8E18-B356ED5F6A65}  Microsoft-Windows-IPMIProvider
{2A49DE31-8A5B-4D3A-A904-7FC7409AE90D}  Microsoft-Windows-MFH264Enc
{2AABD03B-F48B-419A-B4CE-7A14403F4A46}  Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal
{2B74A015-3873-4C56-9928-EA80C58B2787}  Microsoft-Windows-Hyper-V-Integration
{2C3E6D9F-8298-450F-8E5D-49B724F1216F}  Microsoft-Windows-TabletPC-Platform-Input-Ninput
{2CD58181-0BB6-463E-828A-056FF837F966}  Microsoft-Windows-Security-EnterpriseData-FileRevocationManager
{2D318B91-E6E7-4C46-BD04-BFE6DB412CF9}  Microsoft-Windows-TZUtil
{2D4C0C5E-6704-493A-A44B-F5ADD4FC9283}  Microsoft-Windows-OOBE-FirstLogonAnim
{2D7904D8-5C90-4209-BA6A-4C08F409934C}  Microsoft-Windows-StartLmhosts
{2E2BBB16-0C36-4B9B-A567-40924A199FD5}  Microsoft-Windows-Mobile-Broadband-Experience-Api
{2E35AAEB-857F-4BEB-A418-2E6C0E54D988}  Microsoft-Windows-DriverFrameworks-UserMode
{2E6CB42E-161D-413B-A6C1-84CA4C1E5890}  Microsoft-Windows-WindowsToGo-StartupOptions
{2ED299D2-2F6B-411D-8D15-F4CC6FDE0C70}  Microsoft-Windows-AllJoyn
{2ED6006E-4729-4609-B423-3EE7BCD678EF}  Microsoft-Windows-NDIS-PacketCapture
{2F07E2EE-15DB-40F1-90EF-9D7BA282188A}  Microsoft-Windows-TCPIP
{2F4C4F72-75B8-4F4C-9D97-4CE334ECD3E0}  Microsoft-Windows-OOBE-Machine-Plugins
{2F959466-24D4-4972-8729-0D5E3539EBC3}  Microsoft-Windows-Dism-Cli
{2FD7A9A5-B1A1-4FC7-B95C-C32FED818F30}  Microsoft-Windows-TabletPC-Platform-Manipulations
{2FF3E6B7-CB90-4700-9621-443F389734ED}  Microsoft-Windows-Kernel-WDI
{30336ED4-E327-447C-9DE0-51B652C86108}  Microsoft-Windows-Shell-Core
{305FC87B-002A-5E26-D297-60223012CA9C}  Microsoft-Windows-User-Diagnostic
{306C4E0B-E148-543D-315B-C618EB93157C}  Microsoft-Windows-Power-Meter-Polling
{30E1D284-5D88-459C-83FD-6345B39B19EC}  Microsoft-Windows-USB-USBXHCI
{313B0545-BF9C-492E-9173-8DE4863B8573}  Microsoft-Windows-WMVENCOD
{314B2B0D-81EE-4474-B6E0-C2AAEC0DDBDE}  Microsoft-Windows-VWiFi
{314DE49F-CE63-4779-BA2B-D616F6963A88}  Microsoft-Windows-NCSI
{31569DCF-9C6F-4B8E-843A-B7C1CC7FFCBA}  Microsoft-Windows-WPD-API
{315A8872-923E-4EA2-9889-33CD4754BF64}  Microsoft-Windows-Immersive-Shell
{319122A9-1485-4E48-AF35-7DB2D93B8AD2}  Microsoft-Windows-User-ControlPanel
{31BCAC7F-4AB8-47A1-B73A-A161EE68D585}  Microsoft-Windows-IME-JPAPI
{31F60101-3703-48EA-8143-451F8DE779D2}  Microsoft-Windows-DesktopWindowManager-Diag
{32254F6C-AA33-46F0-A5E3-1CBCC74BF683}  Microsoft-Windows-SMBWitnessClient
{3239EB6F-C7FC-4953-AA15-646829A4CA4C}  Microsoft-Windows-DisplayColorCalibration
{323DAD74-D3EC-44A8-8B9D-CAFEB4999274}  Microsoft-Windows-WLAN-MediaManager
{3293F985-41D3-4B6A-B187-2FF4AA91F2FC}  Multimedia-HEVCDECODER
{32DD13DF-9C0B-4C3B-B854-EE76C050F5F4}  Microsoft-Windows-DesktopActivityModerator
{331C3B3A-2005-44C2-AC5E-77220C37D6B4}  Microsoft-Windows-Kernel-Power
{339AAD0A-4124-4968-8147-4CBBB1F8B3D5}  Microsoft-Windows-Hyper-V-UiDevices
{3419DE6D-5D7F-4668-ACC8-F80566814D96}  Microsoft-Windows-System-Profile-HardwareId
{34A3697E-0F10-4E48-AF3C-F869B5BABEBB}  Microsoft-Windows-WorkFolders
{3527CB55-1298-49D4-AB94-1243DB0FCAFF}  Microsoft-Windows-TZSync
{355C44FE-0C8E-4BF8-BE28-8BC7B5A42720}  Microsoft-Windows-WPD-CompositeClassDriver
{35642CF5-DA5E-410B-9D9C-A45F3638042B}  Microsoft-Windows-SendTo
{35AC6CE8-6104-411D-976C-877F183D2D32}  Microsoft-Windows-EventLog-WMIProvider
{36008301-E154-466C-ACEC-5F4CBD6B4694}  Microsoft-Windows-MMCSS
{3629DD4D-D6F1-4302-A623-0768B51501C7}  Microsoft-Windows-CoreSystem-NetProvision-JoinProviderOnline
{3635D4B6-77E3-4375-8124-D545B7149337}  Microsoft-Windows-Kernel-WSService-StartServiceTrigger
{3663A992-84BE-40EA-BBA9-90C7ED544222}  Microsoft-Windows-EFS
{36B6F488-AAD7-48C2-AFE3-D4EC2C8B46FA}  Microsoft-Windows-Performance-Recorder-Control
{36C23E18-0E66-11D9-BBEB-505054503030}  Microsoft-Windows-Diagnostics-Networking
{36DA592D-E43A-4E28-AF6F-4BC57C5A11E8}  Microsoft-Windows-USB-UCX
{37945DC2-899B-44D1-B79C-DD4A9E57FF98}  Microsoft-Windows-MPS-CLNT
{3903D5B9-988D-4C31-9CCD-4022F96703F0}  Microsoft-Windows-RemoteDesktopServices-RemoteFX-Synth3dvsc
{39A63500-7D76-49CD-994F-FFD796EF5A53}  Microsoft-Windows-TextPredictionEngine
{3A5BEF13-D0F7-4E7F-9EC8-5E707DF711D0}  Microsoft-Windows-Mprddm
{3AA52B8B-6357-4C18-A92E-B53FB177853B}  Microsoft-Windows-International
{3AD15A04-74F1-4DCA-B226-AFF89085A05A}  Microsoft-Windows-Wnv
{3AD571F3-BDAE-4942-8733-4D1B85870A1E}  Microsoft-Windows-IME-JPPRED
{3B416199-2C3B-4C28-98B8-F7165F5936F0}  Microsoft-Windows-DataCollectionService
{3C088E51-65BE-40D1-9B90-62BFEC076737}  Microsoft-Windows-VPN-Client
{3C6C422B-019B-4F48-B67B-F79A3FA8B4ED}  Microsoft-Windows-Security-IdentityListener
{3CB2A168-FE19-4A4E-BDAD-DCF422F13473}  Microsoft-Windows-AppID
{3CB40AAA-1145-4FB8-B27B-7E30F0454316}  Microsoft-Windows-WWAN-SVC-EVENTS
{3CC2D4AF-DA5E-4ED4-BCBE-3CF995940483}  Microsoft-Windows-DirectShow-KernelSupport
{3D42A67D-9CE8-4284-B755-2550672B0CE0}  Microsoft-Windows-EapMethods-Sim
{3DA494E4-0FE2-415C-B895-FB5265C5C83B}  Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider
{3E59A529-B0B3-4A11-8129-9FFE6BB46EB9}  Microsoft-Windows-Fat-SQM
{3EB875EB-8F4A-4800-A00B-E484C97D7551}  Microsoft-Windows-Network-Connection-Broker
{3F471139-ACB7-4A01-B7A7-FF5DA4BA2D43}  Microsoft-Windows-AppXDeployment-Server
{3F7B2F99-B863-4045-AD05-F6AFB62E7AF1}  Microsoft-Windows-TerminalServices-MediaRedirection
{3F9E07BD-0E26-4241-A5A5-28CAFA150A75}  Microsoft-Windows-WMPDMCUI
{3FF37A1C-A68D-4D6E-8C9B-F79E8B16C482}  Microsoft-Windows-Ntfs
{4025D192-273D-42EC-BDF8-940EC34EEDCA}  Microsoft-Windows-MCCS-AccountAccessor
{40783728-8921-45D0-B231-919037B4B4FD}  Microsoft-Windows-Security-UserConsentVerifier
{40AB57C2-1C53-4DF9-9324-FF7CF898A02C}  Microsoft-Windows-Diagnosis-Scheduled
{40AE003C-6F3D-4590-AE1C-0E8BE526B50F}  Microsoft-Windows-PeerToPeerDrtEventProvider
{412BDFF2-A8C4-470D-8F33-63FE0D8C20E2}  Microsoft-Windows-Partition
{4154A29C-40D9-445F-8D65-24DA473E8F65}  Microsoft-Windows-UxInit
{4180C4F7-E238-5519-338F-EC214F0B49AA}  Microsoft.Windows.ResourceManager
{41862974-DA3B-4F0B-97D5-BB29FBB9B71E}  Microsoft-OneCore-OnlineSetup
{41877CB4-11FC-4188-B590-712C143C881D}  Microsoft-Windows-Runtime-Web-Http
{4214DCD2-7C33-4F74-9898-719CCCEEC20F}  Microsoft-Windows-TunnelDriver-SQM-Provider
{422088E6-CD0C-4F99-BD0B-6985FA290BDF}  Microsoft-Windows-UxTheme
{42D5F8CB-0D2B-4522-8059-C35A37C94A77}  Microsoft-Windows-PortableWorkspaces-Creator-Tool
{435F8E4B-8CC4-430E-9796-28CAE4976576}  Microsoft-Windows-StorageManagement-WSP-FS
{43D1A55C-76D6-4F7E-995C-64C711E5CAFE}  Microsoft-Windows-WinINet
{43DAD447-735F-4829-A6FF-9829A87419FF}  Microsoft-Windows-Crypto-DSSEnh
{43E63DA5-41D1-4FBF-ADED-1BBED98FDD1D}  Microsoft-Windows-Subsys-SMSS
{442C11C5-304B-45A4-AE73-DC2194C4E876}  Microsoft-Windows-Compat-Appraiser
{46098845-8A94-442D-9095-366A6BCFEFA9}  Microsoft-Windows-WLGPA
{4637124C-1D40-4B4D-892F-2AAECF24FF06}  Microsoft-Windows-WinJson
{46C78E5C-A213-46A8-8A6B-622F6916201D}  Microsoft-Windows-OverlayFilter
{478EA8A8-00BE-4BA6-8E75-8B9DC7DB9F78}  Microsoft-Windows-ESE
{47BC9477-A8BA-452E-B951-4F2ED3593CF9}  Microsoft-Windows-Serial-ClassExtension
{47BFA2B7-BD54-4FAC-B70B-29021084CA8F}  Application Popup
{486A5C7C-11CC-46C5-9DE7-43DFE0BB57C1}  Microsoft-Windows-DriverFrameworks-KernelMode-Performance
{48D445A8-2F64-4D49-B093-A5774D8DC531}  Microsoft-Windows-SrumTelemetry
{494E7A3D-8DB9-4EC4-B43E-2844AF6E38D6}  Microsoft-Windows-exFAT-SQM
{49C2C27C-FE2D-40BF-8C4E-C3FB518037E7}  Microsoft-Windows-Search-Core
{49D6AD7B-52C4-4F79-A164-4DCD908391E4}  NisDrvWFP Provider
{4A104570-EC6D-4560-A40F-858FA955E84F}  Microsoft-Windows-Storage-Tiering
{4A155F10-25AD-47E6-ABA8-2C4F5EEE7846}  Microsoft-Windows-MCCS-ActiveSyncProvider
{4A933674-FB3D-4E8D-B01D-17EE14E91A3E}  Microsoft-Windows-BranchCacheSMB
{4AF188AC-E9C4-4C11-B07B-1FABC07DFEB2}  Microsoft-Windows-Bluetooth-BthLEPrepairing
{4B7EAC67-FC53-448C-A49D-7CC6DB524DA7}  Microsoft-Windows-MediaFoundation-MFReadWrite
{4BD2826E-54A1-4BA9-BF63-92B73EA1AC4A}  Microsoft-Windows-Diagnostics-LoggingChannel
{4CB314DF-C11F-47D7-9C04-65FB0051561B}  Microsoft-Windows-Program-Compatibility-Assistant
{4CEC9C95-A65F-4591-B5C4-30100E51D870}  Microsoft-Windows-Kernel-Tm
{4D13548F-C7B8-4174-BB7A-D7F64BF22D29}  Microsoft-WindowsPhone-LocationServiceProvider
{4DD778B8-379C-4D8C-B659-517A43D6DF7D}  Microsoft-Windows-TSF-UIManager
{4DE9BC9C-B27A-43C9-8994-0915F1A5E24F}  Microsoft-Windows-AAD
{4EACB4D0-263B-4B93-8CD6-778A278E5642}  Microsoft-Windows-GenericRoaming
{4EDBE902-9ED3-4CF0-93E8-B8B5FA920299}  Microsoft-Windows-TunnelDriver
{4EE76BD8-3CF4-44A0-A0AC-3937643E37A3}  Microsoft-Windows-CodeIntegrity
{4F768BE8-9C69-4BBC-87FC-95291D3F9D0C}  Microsoft-Windows-osk
{4FBA1227-F606-4E5F-B9E8-FAB9AB5740F3}  Microsoft-Windows-TSF-msctf
{4FCBF664-A33A-4652-B436-9D558983D955}  Microsoft-Windows-Smartcard-Server
{50B3E73C-9370-461D-BB9F-26F32D68887D}  Microsoft-Windows-WebIO
{50B9E206-9D55-4092-92E8-F157A8235799}  Microsoft-Windows-SmbWmiProvider
{50BD1BFD-936B-4DB3-86BE-E25B96C25898}  Microsoft-Windows-MPS-DRV
{50DF9E12-A8C4-4939-B281-47E1325BA63E}  Microsoft-Windows-DSC
{50F99B2D-96D2-421F-BE4C-222C4140DA9F}  Microsoft-Windows-EDP-Audit-Regular
{51311DE3-D55E-454A-9C58-43DC7B4C01D2}  Microsoft-Windows-MSMPEG2ADEC
{51AEDB05-890B-4ADE-8BA1-0BA14B8E8973}  Microsoft-Windows-ELS-Hyphenation
{51DDFA29-D5C8-4803-BE4B-2ECB715570FE}  Microsoft-Windows-Hyper-V-Worker
{52FC89F8-995E-434C-A91E-199986449890}  Microsoft-Windows-Hyper-V-Hypervisor
{530FB9B9-C515-4472-9313-FB346F9255E3}  Microsoft-Windows-SetupPlatform
{531A35AB-63CE-4BCF-AA98-F88C7A89E455}  Microsoft-Windows-XAML
{5322D61A-9EFA-4BC3-A3F9-14BE95C144F8}  Microsoft-Windows-Kernel-Prefetch
{538CBBAD-4877-4EB2-B26E-7CAEE8F0F8CB}  Microsoft-Windows-FunctionDiscoveryHost
{5402E5EA-1BDD-4390-82BE-E108F1E634F5}  Microsoft-Windows-WinINet-Config
{5412704E-B2E1-4624-8FFD-55777B8F7373}  Microsoft-Windows-Kernel-Pep
{54164045-7C50-4905-963F-E5BC1EEF0CCA}  Microsoft-Windows-CertificateServicesClient-CertEnroll
{5444519F-2484-45A2-991E-953E4B54C8E0}  Microsoft-Windows-MPS-SRV
{546549BE-9D63-46AA-9154-4F6EB9526378}  Microsoft-Windows-Firewall-CPL
{54732EE5-61CA-4727-9DA1-10BE5A4F773D}  Microsoft-Windows-BfeTriggerProvider
{54849625-5478-4994-A5BA-3E3B0328C30D}  Microsoft-Windows-Security-Auditing
{548C4417-CE45-41FF-99DD-528F01CE0FE1}  Microsoft-Windows-KernelStreaming
{54CB22FF-26B4-4393-A8C2-6B0715912C5F}  Microsoft-Windows-EQoS
{54D5AC20-E14F-4FDA-92DA-EBF7556FF176}  Microsoft-Windows-Crypto-RNG
{54FFD262-99FE-4576-96E7-1ADB500370DC}  Microsoft-Windows-Wordpad
{55404E71-4DB9-4DEB-A5F5-8F86E46DDE56}  Microsoft-Windows-Winsock-NameResolution
{555908D1-A6D7-4695-8E1E-26931D2012F4}  Service Control Manager
{55AB77F6-FA04-43EF-AF45-688FBF500482}  Microsoft-Windows-GPIO-ClassExtension
{55B24B1D-DD9C-44C0-BA77-4F749F1B6976}  Microsoft-Windows-Minstore
{55BACC9F-9AC0-46F5-968A-A5A5DD024F8A}  Microsoft-Windows-wmvdecod
{56285391-9B96-4696-9EAD-2D17F98FBDB2}  Microsoft-Windows-EmbeddedAppLauncher
{56C71C31-CFBD-4CDD-8559-505E042BBBE1}  Microsoft-Windows-DeviceAssociationService
{56DC463B-97E8-4B59-E836-AB7C9BB96301}  Microsoft-Windows-Diagtrack
{56F519AB-9DF6-4345-8491-A4BA21AC825B}  Microsoft-Windows-UserDataAccess-UnifiedStore
{57003E21-269B-4BDC-8434-B3BF8D57D2D5}  Microsoft-User Experience Virtualization-SQM Uploader
{57277741-3638-4A4B-BDBA-0AC6E45DA56C}  Microsoft-JScript
{5786E035-EF2D-4178-84F2-5A6BBEDBB947}  Microsoft-Windows-DirectManipulation
{579402A2-883C-45D8-B70A-9BC856407751}  Microsoft-Windows-SettingSync-Desktop
{5857D6CA-9732-4454-809B-2A87B70881F8}  Microsoft-Windows-WSC-SRV
{585CAB4F-9351-436E-9D99-DC4B41A20DE0}  Microsoft-Windows-Tethering-Station
{588C5C5A-FFC5-44A2-9A7F-D5E8DBE6EFD7}  Microsoft-Windows-HealthCenter
{58980F4B-BD39-4A3E-B344-492ED2254A4E}  Microsoft-Windows-EapMethods-RasChap
{5931D877-4860-4EE7-A95C-610A5F0D1407}  Microsoft-Windows-Hyper-V-VID
{595F33EA-D4AF-4F4D-B4DD-9DACDD17FC6E}  Microsoft-Windows-StorageManagement-WSP-Host
{595F7F52-C90A-4026-A125-8EB5E083F15E}  Microsoft-Windows-StorageSpaces-Driver
{59819D0A-ADAF-46B2-8D7C-990BC39C7C15}  Microsoft-Windows-Battery
{59E7A714-73A4-4147-B47E-0957048C75C4}  Microsoft-Windows-XAML-Diagnostics
{5A24FCDB-1CF3-477B-B422-EF4909D51223}  Microsoft-Windows-CredUI
{5B004607-1087-4F16-B10E-979685A8D131}  Microsoft-Windows-DomainJoinManagerTriggerProvider
{5B09C0BF-453F-43E6-B344-435148A14443}  Microsoft-HPC-MPI
{5B0A651A-8807-45CC-9656-7579815B6AF0}  Microsoft-Windows-RemoteAssistance
{5B5AB841-7D2E-4A95-BB4F-095CDF66D8F0}  Microsoft-Windows-PackageStateRoaming
{5B621A17-3B58-4D03-94F0-314F4E9C79AE}  Microsoft-Windows-Hyper-V-SynthFcVdev
{5BBCA4A8-B209-48DC-A8C7-B23D3E5216FB}  Microsoft-Windows-CAPI2
{5C1C9AB3-8689-4E41-90FA-85858306D7B7}  Microsoft-Windows-Network-DataUsage
{5C8BB950-959E-4309-8908-67961A1205D5}  Microsoft-IEFRAME
{5CAD3597-5FEC-4C62-9CE1-9D7ABC723D3A}  Microsoft-Windows-PushNotifications-Developer
{5CAD485A-210F-4C16-80C5-F892DE74E28D}  Microsoft-Windows-OtpCredentialProviderEvt
{5D674230-CA9F-11DA-A94D-0800200C9A66}  Microsoft-Windows-BitLocker-API
{5D8087DD-3A9B-4F56-90DF-49196CDC4F11}  Microsoft-Windows-Direct3D12
{5D86C4E2-8FCD-48D7-A713-9A04609C0189}  Microsoft-Windows-MCCS-DavSyncProvider
{5D896912-022D-40AA-A3A8-4FA5515C76D7}  Microsoft-Windows-TerminalServices-LocalSessionManager
{5D9E0020-3761-4F36-90C8-38CE6511BD12}  Microsoft-Windows-MSDTC 2
{5EC13D8E-4B3F-422E-A7E7-3121A1D90C7A}  Microsoft-Windows-ApplicationExperienceInfrastructure
{5F0E257F-C224-43E5-9555-2ADCB8540A58}  Microsoft-Windows-Immersive-Shell-API
{5F92BC59-248F-4111-86A9-E393E12C6139}  Microsoft-Windows-MemoryDiagnostics-Results
{60295907-77C5-43C2-AEF3-DF86DA77F304}  Microsoft-Windows-VStack-Synth3dVideo
{602A0873-9BDE-48B3-B6B7-277035293458}  Microsoft-Windows-MCCS-ActiveSyncCsp
{6066F867-7CA1-4418-85FD-36E3F9C0600C}  Microsoft-Windows-Hyper-V-VMMS
{606A6A38-70EC-4309-B3A3-82FF86F73329}  Microsoft-Windows-ServiceReportingApi
{606C6FE0-A9DC-4A9D-BDEA-830AFF6716E7}  Microsoft-Windows-Shell-Search-UriHandler
{614696C9-85AF-4E64-B389-D2C0DB4FF87B}  Microsoft-Windows-WMPNSS-PublicAPI
{617853D6-728B-4B59-8A78-C3A9A5EADE92}  WINSATAPI_ETW_PROVIDER
{618473BC-8EEF-4868-ADFF-A1B640B06411}  Microsoft-Windows-MCCS-InternetMail
{61BC445E-7A8D-420E-AB36-9C7143881B98}  Microsoft-User Experience Virtualization-Admin
{61F044AF-9104-4CA5-81EE-CB6C51BB01AB}  Microsoft-Windows-ThemeCPL
{62DE9E48-90C6-4755-8813-6A7D655B0802}  Microsoft-Windows-NdisImPlatformSysEvtProvider
{632F767E-0EC3-47B9-BA1C-A0E62A74728A}  Microsoft-Windows-BitLocker-DrivePreparationTool
{63848CFF-3EC7-4DDF-8072-5F95E8C8EB98}  Intel-iaLPSS2-GPIO2
{63B530F8-29C9-4880-A5B4-B8179096E7B8}  Microsoft-Windows-NlaSvc
{63D1E632-95CC-4443-9312-AF927761D52A}  Microsoft-Windows-HAL
{63D2BB1D-E39A-41B8-9A3D-52DD06677588}  Microsoft-Windows-Shell-AuthUI
{6465DA78-E7A0-4F39-B084-8F53C7C30DC6}  Microsoft-Windows-Input-HIDCLASS
{6489B27F-7C43-5886-1D00-0A61BB2A375B}  Microsoft-Windows-UniversalTelemetryClient
{648A0644-7D62-4FD3-8841-440064762F95}  Microsoft-Windows-BackgroundTransfer-ContentPrefetcher
{64EF2B1C-4AE1-4E64-8599-1636E441EC88}  Microsoft-Windows-Devices-Background
{651DF93B-5053-4D1E-94C5-F6E6D25908D0}  Microsoft-Windows-BitLocker-Driver
{6545939F-3398-411A-88B7-6A8914B8CEC7}  Microsoft-Windows-ServiceTriggerPerfEventProvider
{65D99466-7A8E-489C-B8E1-962BC945031E}  Microsoft-Windows-Shell-DefaultPrograms
{6600E712-C3B6-44A2-8A48-935C511F28C8}  Microsoft-Windows-Iphlpsvc-Trace
{66A5C15C-4F8E-4044-BF6E-71D896038977}  Microsoft-Windows-Iphlpsvc
{66C07ECD-6667-43FC-93F8-05CF07F446EC}  Microsoft-Windows-WinNat
{676F167F-F72C-446E-A498-EDA43319A5E3}  Microsoft-Windows-ntshrui
{67D07935-283A-4791-8F8D-FA9117F3E6F2}  Microsoft-Windows-Wcmsvc
{67D781BD-CBD2-4BD2-AD1F-6152FB891246}  Microsoft-Windows-BootUX
{67DC0D66-3695-47C0-9642-33F76F7BD7AD}  Microsoft-Windows-Hyper-V-VmSwitch
{67FE2216-727A-40CB-94B2-C02211EDB34A}  Microsoft-Windows-VolumeSnapshot-Driver
{699E309C-E782-4400-98C8-E21D162D7B7B}  Microsoft-Windows-Forwarding
{69C8CA7E-1ADF-472B-BA4C-A0485986B9F6}  Microsoft-Windows-StorageSpaces-SpaceManager
{6A1F2B00-6A90-4C38-95A5-5CAB3B056778}  Microsoft-Windows-DHCPv6-Client
{6A2DC7C1-930A-4FB5-BB44-80B30AEBED6C}  Microsoft-Windows-WMPNSS-Service
{6A502821-AB44-40C8-B32F-37315D9D52E0}  Microsoft-Windows-Network-and-Sharing-Center
{6AD52B32-D609-4BE9-AE07-CE8DAE937E39}  Microsoft-Windows-RPC
{6ADDABF4-8C54-4EAB-BF4F-FBEF61B62EB0}  Microsoft-Windows-AIT
{6B1FFE48-5B1E-4793-9F7F-AE926454499D}  Microsoft-Windows-DiskDiagnosticResolver
{6B4DB0BC-9A3D-467D-81B9-A84C6F2F3D40}  Microsoft-Windows-Disk
{6B93BF66-A922-4C11-A617-CF60D95C133D}  Microsoft-Windows-Fault-Tolerant-Heap
{6BA132C4-DA49-415B-A7F4-31870DC9FE25}  Microsoft-Windows-QoS-qWAVE
{6BBA3851-2C7E-4DEA-8F54-31E5AFD029E3}  Microsoft-Windows-Diagnosis-DPS
{6BD96334-DC49-441A-B9C4-41425BA628D8}  Microsoft-Windows-Runtime-WebAPI
{6BDADC96-673E-468C-9F5B-F382F95B2832}  Microsoft-Windows-Security-SPP-UX
{6C260F2C-049A-43D8-BF4D-D350A4E6611A}  Microsoft-Windows-RasSstp
{6D7662A9-034E-4B1F-A167-67819C401632}  Microsoft-Windows-IdCtrls
{6D8A3A60-40AF-445A-98CA-99359E500146}  Microsoft-Windows-ApplicationExperience-Cache
{6DF57621-E7E4-410F-A7E9-E43EEB61B11F}  Microsoft-Windows-Shell-ConnectedAccountState
{6E400999-5B82-475F-B800-CEF6FE361539}  Microsoft-Windows-TerminalServices-ClientUSBDevices
{6EB875EB-8F4A-4800-A00B-E484C97D7561}  Microsoft-Windows-Runtime-Networking
{6EB8DB94-FE96-443F-A366-5FE0CEE7FB1C}  Microsoft-Windows-EapHost
{6ECE3302-FEE1-4EA9-8B88-086D459ED976}  Microsoft-Windows-Display
{6ED11B00-C1B5-48CB-AECC-FF72EBEFBAE8}  Microsoft-Windows-Wallet
{70EB4F03-C1DE-4F73-A051-33D13D5413BD}  Microsoft-Windows-Kernel-Registry
{712880E9-7813-41A3-8E4C-E4E0C4F6580A}  Microsoft-Windows-WiFiDisplay
{712ABB2D-D806-4B42-9682-26DA01D8B307}  Microsoft-Windows-Video-For-Windows
{719BE4ED-E9BC-4DD8-A7CF-C85CE8E4975D}  Microsoft-Windows-MSDTC
{71C993B8-1E28-4543-9886-FB219B63FDB3}  Microsoft-Windows-WWAN-CFE
{7237FFF9-A08A-4804-9C79-4A8704B70B87}  Microsoft-Windows-LanguagePackSetup
{72561CF0-C85C-4F78-9E8D-CBA9093DF62D}  Microsoft-Windows-OneBackup
{7288C9F8-D63C-4932-A345-89D6B060174D}  Microsoft-Windows-ADSI
{728B8C72-0F0F-4071-9BCC-27CB3B6DACBE}  Microsoft-Windows-DXP
{72CD9FF7-4AF8-4B89-AEDE-5F26FDA13567}  Microsoft-Windows-SPB-ClassExtension
{72D211E1-4C54-4A93-9520-4901681B2271}  Microsoft-Windows-PerfProc
{73370BD6-85E5-430B-B60A-FEA1285808A7}  Microsoft-Windows-CertificateServicesClient
