.NET Framework API Reference version 4.7.2
Name	Description
System.IdentityModel.Selectors Namespace	The System.IdentityModel.Selectors namespace contains classes that implement authentication in the Windows Communication Foundation (WCF) claims-based identity model. Beginning with .NET Framework 4.5 and the integration of Windows Identity Foundation (WIF) into the .NET Framework, the WCF claims-based identity model has been superseded by WIF. WIF provides a claims-based identity object model that can be used to provide authentication and authorization across several Microsoft product stacks, including the CLR, WCF, and ASP.NET. The WIF classes that represent security tokens and that are used to process security tokens are contained in the System.IdentityModel.Tokens namespace; for example, System.IdentityModel.Tokens.SecurityToken and System.IdentityModel.Tokens.SecurityTokenHandler. Beginning with .NET 4.5, the classes in the System.IdentityModel.Tokens namespace should be used instead of those in the System.IdentityModel.Selectors namespace.
System.IdentityModel.Services Namespace	The System.IdentityModel.Services namespace primarily contains classes that are used in applications built using Windows Identity Foundation (WIF) that perform federated authentication with the WS-Federation protocol. It contains the HTTP Modules, System.IdentityModel.Services.WSFederationAuthenticationModule (WSFAM) and System.IdentityModel.Services.SessionAuthenticationModule (SAM), as well as classes that support their operation. The WSFAM provides handling for the WS-Federation sign-in and sign-out sequences and the SAM provides session management by maintaining and handling cookies. The namespace also contains classes that represent WS-Federation messages (System.IdentityModel.Services.WSFederationMessage), such as sign-in (System.IdentityModel.Services.SignInRequestMessage, System.IdentityModel.Services.SignInResponseMessage) and sign-out messages (System.IdentityModel.Services.SignOutRequestMessage), as well as serializers that serialize and deserialize between the object model and the on-the-wire representations of these messages.
System.IdentityModel.Services.Configuration Namespace	The System.IdentityModel.Services.Configuration namespace contains classes that provide configuration for Windows Identity Foundation (WIF) applications that use the WS-Federation protocol. The classes in this namespace represent settings under the [<system.identityModel.services>](~/docs/framework/configure-apps/file-schema/windows-identity-foundation/system-identitymodel-services.md) element. The System.IdentityModel.Services namespace also contains some of the classes that are used to configure WS-Federation. Classes that configure other service and application settings, such as security token handlers, are contained primarily in the System.IdentityModel.Configuration namespace. These settings appear under the [<identityConfiguration>](~/docs/framework/configure-apps/file-schema/windows-identity-foundation/identityconfiguration.md) element in a configuration file.
System.IdentityModel.Services.Tokens Namespace	The System.IdentityModel.Services.Tokens contains the System.IdentityModel.Services.Tokens.MachineKeySessionSecurityTokenHandler class and the System.IdentityModel.Services.Tokens.MembershipUserNameSecurityTokenHandler class.
System.IdentityModel.Tokens Namespace	The System.IdentityModel.Tokens namespace contains classes that represent security tokens, security token handlers, key identifier clauses and other artifacts used in token generation and processing. The namespace contains base classes such as System.IdentityModel.Tokens.SecurityToken, System.IdentityModel.Tokens.SecurityTokenHandler, and System.IdentityModel.Tokens.SecurityKeyIdentifierClause, as well as classes that derive from these classes and represent several of the token types, artifacts, and handlers for which the Windows Identity Foundation (WIF) has built in support. This includes classes that contain support for SAML v1.1 and v2.0 tokens, such as: System.IdentityModel.Tokens.SamlSecurityToken, System.IdentityModel.Tokens.SamlSecurityTokenHandler, System.IdentityModel.Tokens.Saml2SecurityToken, and System.IdentityModel.Tokens.Saml2SecurityTokenHandler.
System.Linq Namespace	The System.Linq namespace provides classes and interfaces that support queries that use Language-Integrated Query (LINQ).
System.Linq.Expressions Namespace	The System.Linq.Expressions namespace contains classes, interfaces and enumerations that enable language-level code expressions to be represented as objects in the form of expression trees.
System.Management Namespace	Provides access to a rich set of management information and management events about the system, devices, and applications instrumented to the Windows Management Instrumentation (WMI) infrastructure. Applications and services can query for interesting management information (such as how much free space is left on the disk, what is the current CPU utilization, which database a certain application is connected to, and much more), using classes derived from System.Management.ManagementObjectSearcher and System.Management.ManagementQuery, or subscribe to a variety of management events using the System.Management.ManagementEventWatcher class. The accessible data can be from both managed and unmanaged components in the distributed environment.
System.Management.Instrumentation Namespace	Provides the classes necessary for instrumenting applications for management and exposing their management information and events through WMI to potential consumers. Consumers such as Microsoft Application Center or Microsoft Operations Manager can then manage your application easily, and monitoring and configuring of your application is available for administrator scripts or other applications, both managed as well as unmanaged. Instrumentation of your application is easy to achieve using the InstrumentationClass custom attribute on classes you wish to expose, or using the provided System.Management.Instrumentation.BaseEvent and System.Management.Instrumentation.Instance base classes and the System.Management.Instrumentation.Instrumentation helper class.
System.Media Namespace	The System.Media namespace contains classes for playing sound files and accessing sounds provided by the system.
System.Messaging Namespace	The System.Messaging namespace provides classes that allow you to connect to, monitor, and administer message queues on the network and send, receive, or peek messages.
System.Messaging.Design Namespace	The System.Messaging.Design namespace contains classes that can be used to extend design-time support for System.Messaging classes.
System.Net Namespace	The System.Net namespace provides a simple programming interface for many of the protocols used on networks today. The System.Net.WebRequest and System.Net.WebResponse classes form the basis of what are called pluggable protocols, an implementation of network services that enables you to develop applications that use Internet resources without worrying about the specific details of the individual protocols. Classes in the System.Net namespace can be used to develop Windows Store apps or desktop apps. When used in a Windows Store app, classes in the System.Net namespace are affected by network isolation feature, part of the application security model used by the Windows Developer Preview. The appropriate network capabilities must be enabled in the app manifest for a Windows Store app for the system to allow network access by a Windows Store app. For more information, see the [Network Isolation for Windows Store Apps](~/docs/framework/network-programming/network-isolation-for-windows-store-apps.md).
System.Net.Cache Namespace	The System.Net.Cache namespace defines the types and enumerations used to define cache policies for resources obtained using the System.Net.WebRequest and System.Net.HttpWebRequest classes.
System.Net.Configuration Namespace	The System.Net.Configuration namespace contains classes that applications use to programmatically access and update configuration settings for the System.Net namespaces.
System.Net.Http Namespace	The System.Net.Http namespace provides a programming interface for modern HTTP applications.
System.Net.Http.Headers Namespace	Provides support for collections of HTTP headers used by the System.Net.Http namespace
System.Net.Mail Namespace	The System.Net.Mail namespace contains classes used to send electronic mail to a Simple Mail Transfer Protocol (SMTP) server for delivery.
System.Net.Mime Namespace	The System.Net.Mime namespace holds types that are used to represent Multipurpose Internet Mail Exchange (MIME) headers. These types are used with the types in the System.Net.Mail namespace to specify Content-Type, Content-Disposition and Content-transfer-Encoding headers when using the System.Net.Mail.SmtpClient class to send email.
System.Net.NetworkInformation Namespace	The System.Net.NetworkInformation namespace provides access to network traffic data, network address information, and notification of address changes for the local computer. The namespace also contains classes that implement the Ping utility. You can use System.Net.NetworkInformation.Ping and related classes to check whether a computer is reachable across the network.
System.Net.PeerToPeer Namespace	The System.Net.PeerToPeer namespace provides access to peer networking functionality.
System.Net.PeerToPeer.Collaboration Namespace	The System.Net.PeerToPeer.Collaboration namespace enhances System.Net.PeerToPeer networking functionality and provides capabilities for serverless managed collaboration sessions.
System.Net.Security Namespace	The System.Net.Security namespace provides network streams for secure communications between hosts.
System.Net.Sockets Namespace	The System.Net.Sockets namespace provides a managed implementation of the Windows Sockets (Winsock) interface for developers who need to tightly control access to the network.
System.Net.WebSockets Namespace	The System.Net.WebSockets namespace provides a managed implementation of the WebSocket interface for developers.
System.Numerics Namespace	The System.Numerics namespace contains numeric types that complement the numeric primitives, such as System.Byte, System.Double, and System.Int32, that are defined by .NET.
System.Printing Namespace	Provides classes that enable you to automate the management of print servers, print queues, and print jobs.
System.Printing.IndexedProperties Namespace	Provides classes that enable rapidly copying the property settings of a print system object to another object of the same type. Also, enables iteration through the properties of print system objects and the discovery of their types at run time, without using reflection.
System.Printing.Interop Namespace	Provides interconversion of managed System.Printing.PrintTicket objects and unmanaged Graphics Device Interface (GDI) DEVMODE structures.
System.Reflection Namespace	The System.Reflection namespace contains types that retrieve information about assemblies, modules, members, parameters, and other entities in managed code by examining their metadata. These types also can be used to manipulate instances of loaded types, for example to hook up events or to invoke methods. To dynamically create types, use the System.Reflection.Emit namespace.
System.Reflection.Context Namespace	The System.Reflection.Context namespace contains classes that enable customized reflection contexts.
System.Reflection.Emit Namespace	The System.Reflection.Emit namespace contains classes that allow a compiler or tool to emit metadata and Microsoft intermediate language (MSIL) and optionally generate a PE file on disk. The primary clients of these classes are script engines and compilers.
System.Resources Namespace	The System.Resources namespace provides classes and interfaces that allow developers to create, store, and manage various culture-specific resources used in an application. One of the most important classes of the System.Resources namespace is the System.Resources.ResourceManager class.
System.Resources.Tools Namespace	The System.Resources.Tools namespace contains the System.Resources.Tools.StronglyTypedResourceBuilder class, which provides support for strongly-typed resources. Beginning with the .NET Framework version 2.0, this compile-time feature encapsulates access to resources by creating classes that contain a set of static read-only (get) properties, thus making it easier to consume resources.
System.Runtime Namespace	The System.Runtime namespace contains advanced types that support diverse namespaces such as the System, Runtime, and the Security namespaces.
System.Runtime.Caching Namespace	The System.Runtime.Caching namespace contains types that let you implement caching in NET Framework applications.
System.Runtime.Caching.Configuration Namespace	The System.Runtime.Caching.Configuration namespace contains configuration handler classes for the .NET Framework caching feature.
System.Runtime.Caching.Hosting Namespace	The types in the System.Runtime.Caching.Hosting namespace support .NET Framework hosting environments that use the caching features in ASP.NET.
System.Runtime.CompilerServices Namespace	The System.Runtime.CompilerServices namespace provides functionality for compiler writers who use managed code to specify attributes in metadata that affect the run-time behavior of the common language runtime.
System.Runtime.ConstrainedExecution Namespace	The System.Runtime.ConstrainedExecution namespace defines a set of types that enumerate and define a contract for reliability between the author of some code, and the developers who take a dependency on that code. The types in the System.Runtime.ConstrainedExecution namespace are intended for use in constrained execution regions (CERs).
System.Runtime.DesignerServices Namespace	The System.Runtime.DesignerServices namespace provides classes that support application and component designers in integrated development environments.
System.Runtime.DurableInstancing Namespace	This namespace contains classes that are used by the Windows Communication Foundation (WCF) infrastructure to implement a persistence provider.
System.Runtime.ExceptionServices Namespace	The System.Runtime.ExceptionServices namespace provides classes for advanced exception handling.
System.Runtime.Hosting Namespace	The System.Runtime.Hosting namespace contains advanced types that are used in application activation within application domains.
System.Runtime.InteropServices Namespace	The System.Runtime.InteropServices namespace provides a wide variety of members that support COM interop and platform invoke services. If you are unfamiliar with these services, see [Interoperating with Unmanaged Code](~/docs/framework/interop/index.md).
System.Runtime.InteropServices.ComTypes Namespace	The System.Runtime.InteropServices.ComTypes namespace contains managed types that correspond to types used by COM interop.
System.Runtime.InteropServices.CustomMarshalers Namespace	Provides internal marshaling support for the .NET Framework.
System.Runtime.InteropServices.Expando Namespace	The System.Runtime.InteropServices.Expando namespace contains the IExpando interface which allows modification of an object by adding or removing its members.
System.Runtime.InteropServices.WindowsRuntime Namespace	The System.Runtime.InteropServices.WindowsRuntime namespace contains classes that support interoperation between managed code and the Windows Runtime, and that enable the creation of Windows Runtime types with managed code.
System.Runtime.Remoting Namespace	The System.Runtime.Remoting namespace provides classes and interfaces that allow developers to create and configure distributed applications. Some of the more important classes of the System.Runtime.Remoting namespace are the System.Runtime.Remoting.RemotingConfiguration class, the System.Runtime.Remoting.RemotingServices class, and the System.Runtime.Remoting.ObjRef class.
System.Runtime.Remoting.Activation Namespace	The System.Runtime.Remoting.Activation namespace provides classes and objects that support server and client activation of remote objects.
System.Runtime.Remoting.Channels Namespace	The System.Runtime.Remoting.Channels namespace contains classes that support and handle channels and channel sinks, which are used as the transport medium when a client calls a method on a remote object.
System.Runtime.Remoting.Channels.Http Namespace	The System.Runtime.Remoting.Channels.Http namespace contains channels that use the HTTP protocol to transport messages and objects to and from remote locations. By default, the HTTP channels encode objects and method calls in SOAP format for transmission, but other encoding and decoding formatter sinks can be specified in the configuration properties of a channel. One of the most important classes of the System.Runtime.Remoting.Channels.Http namespace is the System.Runtime.Remoting.Channels.Http.HttpChannel class.
System.Runtime.Remoting.Channels.Ipc Namespace	The System.Runtime.Remoting.Channels.Ipc namespace defines a communication channel for remoting that uses the interprocess cmmunication (IPC) system of the Windows operating system. Because it does not use network communication, the IPC channel is much faster than the HTTP and TCP channels, but it can only be used for communication between application domains on the same physical computer.
System.Runtime.Remoting.Channels.Tcp Namespace	The System.Runtime.Remoting.Channels.Tcp namespace contains channels that use the TCP protocol to transport messages and objects to and from remote locations. By default, the TCP channels encode objects and method calls in binary format for transmission, but other encoding and decoding formatter sinks can be specified in the configuration properties of a channel. One of the most important classes of the System.Runtime.Remoting.Channels.Tcp namespace is the System.Runtime.Remoting.Channels.Tcp.TcpChannel class.
System.Runtime.Remoting.Contexts Namespace	The System.Runtime.Remoting.Contexts namespace contains objects that define the contexts all objects reside within. A context is an ordered sequence of properties that defines an environment for the objects within it. Contexts are created during the activation process for objects that are configured to require certain automatic services such synchronization, transactions, just-in-time (JIT) activation, security, and so on. Multiple objects can live inside a context.
System.Runtime.Remoting.Lifetime Namespace	The System.Runtime.Remoting.Lifetime namespace contains classes that manage the lifetime of remote objects.
System.Runtime.Remoting.Messaging Namespace	The System.Runtime.Remoting.Messaging namespace contains classes used to create and transmit messages. The remoting infrastructure uses messages to communicate with remote objects. Messages are used to transmit remote method calls, to activate remote objects, and to communicate information. A message object carries a set of named properties, including action identifiers, envoy information, and parameters. Some of the most important classes of the System.Runtime.Remoting.Messaging namespace are the System.Runtime.Remoting.Messaging.AsyncResult class, the System.Runtime.Remoting.Messaging.RemotingSurrogateSelector class, and the System.Runtime.Remoting.Messaging.ReturnMessage class.
System.Runtime.Remoting.Metadata Namespace	The System.Runtime.Remoting.Metadata namespace contains classes and attributes that can be used to customize generation and processing of SOAP for objects and fields. The classes of this namespace can be used to indicate the SOAPAction header field, type output, XML element name, and the method XML namespace URI. This information is used by the SOAP serializer during SOAP generation and the Soapsuds Tool (Soapsuds.exe) during Web Services Description Language (WSDL) generation. The information specified by the attributes in this namespace can be used on the receiving end of the generated SOAP to customize processing of the remoted method calls and objects. One of the most important classes of the System.Runtime.Remoting.Metadata namespace is System.Runtime.Remoting.Metadata.SoapAttribute class. The System.Runtime.Remoting.Metadata.SoapAttribute class is nonfunctional, and can only be used as the base class for all the metadata attributes. For more information on the SOAPAction HTTP header field, see www.w3.org/tr/soap/#_Toc478383528.
System.Runtime.Remoting.Metadata.W3cXsd2001 Namespace	The System.Runtime.Remoting.Metadata.W3cXsd2001 namespace contains the XML Schema Definition (XSD) that was defined by the World Wide Web Consortium (W3C) in 2001. The XML Schema Part 2: Datatypes specification from W3C identifies format and behavior of various data types. This namespace contains wrapper classes for the data types that conform to the W3C specification. All date and time types conform to the ISO standards specification.
System.Runtime.Remoting.MetadataServices Namespace	The System.Runtime.Remoting.MetadataServices namespace contains the classes that are used by the Soapsuds Tool (Soapsuds.exe) command-line tool and the user code to convert metadata to and from XML schema for the remoting infrastructure. Some of the most important classes of this namespace are the System.Runtime.Remoting.MetadataServices.SdlChannelSink class and the System.Runtime.Remoting.MetadataServices.MetaData class.
System.Runtime.Remoting.Proxies Namespace	The System.Runtime.Remoting.Proxies namespace contains classes that control and provide functionality for proxies. A proxy is a local object that is an image of a remote object. Proxies enable clients to access objects across remoting boundaries.
System.Runtime.Remoting.Services Namespace	The System.Runtime.Remoting.Services namespace contains service classes that provide functionality to the .NET Framework. One of the most important classes of this namespace is the System.Runtime.Remoting.Services.TrackingServices class.
System.Runtime.Serialization Namespace	The System.Runtime.Serialization namespace contains classes that can be used for serializing and deserializing objects. Serialization is the process of converting an object or a graph of objects into a linear sequence of bytes for either storage or transmission to another location. Deserialization is the process of taking in stored information and recreating objects from it.
System.Runtime.Serialization.Configuration Namespace	The System.Runtime.Serialization.Configuration namespace contains classes used to read the values found in application configuration under system.xml.serialization section. The classes in this namespace are used by the serialization infrastructure to handle the configuration elements and cannot be used directly. Instead, to configure the DataContractSerializer, create an application configuration file and use the following XML elements. <system.xml.serialization><dataContractSerializer><declaredTypes><add> element for <declaredTypes><knownType> element
System.Runtime.Serialization.Formatters Namespace	The System.Runtime.Serialization.Formatters namespace provides common enumerations, interfaces, and classes that are used by serialization formatters.
System.Runtime.Serialization.Formatters.Binary Namespace	The System.Runtime.Serialization.Formatters.Binary namespace contains the System.Runtime.Serialization.Formatters.Binary.BinaryFormatter class, which can be used to serialize and deserialize objects in binary format.
System.Runtime.Serialization.Formatters.Soap Namespace	The System.Runtime.Serialization.Formatters.Soap namespace contains the System.Runtime.Serialization.Formatters.Soap.SoapFormatter class, which can be used to serialize and deserialize objects in the SOAP format. When building applications that uses the types in this namespace, you must reference the System.Runtime.Serialization.Formatters.Soap.dll assembly.
System.Runtime.Serialization.Json Namespace	Provides classes related to Json serialization.
System.Runtime.Versioning Namespace	The System.Runtime.Versioning namespace contains advanced types that support versioning in side by side implementations of the .NET Framework.
System.Security Namespace	The System.Security namespace provides the underlying structure of the common language runtime security system, including base classes for permissions.
System.Security.AccessControl Namespace	The System.Security.AccessControl namespace provides programming elements that control access to and audit security-related actions on securable objects.
System.Security.Authentication Namespace	The Authentication namespace provides a set of enumerations that describe the security of a connection. These enumerations include System.Security.Authentication.CipherAlgorithmType, System.Security.Authentication.ExchangeAlgorithmType, System.Security.Authentication.HashAlgorithmType, and System.Security.Authentication.SslProtocols.
System.Security.Authentication.ExtendedProtection Namespace	The System.Security.Authentication.ExtendedProtection namespace provides support for authentication using extended protection for applications.
System.Security.Authentication.ExtendedProtection.Configuration Namespace	The System.Security.Authentication.ExtendedProtection.Configuration namespace provides support for configuration of authentication using extended protection for applications.
System.Security.Claims Namespace	Contains classes that implement claims-based identity in the .NET Framework, including classes that represent claims, claims-based identities, and claims-based principals.
System.Security.Cryptography Namespace	The System.Security.Cryptography namespace provides cryptographic services, including secure encoding and decoding of data, as well as many other operations, such as hashing, random number generation, and message authentication. For more information, see [Cryptographic Services](~/docs/standard/security/cryptographic-services.md).
System.Security.Cryptography.Pkcs Namespace	The System.Security.Cryptography.Pkcs namespace provides programming elements for Public Key Cryptography Standards (PKCS), including methods for signing data, exchanging keys, requesting certificates, public key encryption and decryption, and other security functions.
System.Security.Cryptography.X509Certificates Namespace	The System.Security.Cryptography.X509Certificates namespace contains the common language runtime implementation of the Authenticode X.509 v.3 certificate. This certificate is signed with a private key that uniquely and positively identifies the holder of the certificate.
System.Security.Cryptography.Xml Namespace	The System.Security.Cryptography.Xml namespace contains classes to support the creation and validation of XML digital signatures. The classes in this namespace implement the World Wide Web Consortium Recommendation, "XML-Signature Syntax and Processing", described at http://www.w3.org/TR/xmldsig-core/.
System.Security.Permissions Namespace	The System.Security.Permissions namespace defines classes that control access to operations and resources based on policy.
System.Security.Policy Namespace	The System.Security.Policy namespace contains code groups, membership conditions, and evidence. These three types of classes are used to create the rules applied by the common language runtime security policy system. Evidence classes are the input to security policy and membership conditions are the switches; together these create policy statements and determine the granted permission set. Policy levels and code groups are the structure of the policy hierarchy. Code groups are the encapsulation of a rule and are arranged hierarchically in a policy level.
System.Security.Principal Namespace	The System.Security.Principal namespace defines a principal object that represents the security context under which code is running. For more information, see [Role-Based Security](~/docs/standard/security/role-based-security.md).
System.Security.RightsManagement Namespace	Provides types to support rights management of application-created content such as that stored in a System.IO.Packaging.Package or System.Windows.Xps.Packaging.XpsDocument.
System.ServiceModel Namespace	Provides classes related to the service model.
System.ServiceModel.Activation Namespace	Provides classes related to service model activation.
System.ServiceModel.Activation.Configuration Namespace	Represents the configuration settings for the SMSvcHost.exe tool. This namespace represents the configuration elements that can be configured in the SMSvcHost.exe.config file. Specifically, it includes all machine-wide settings that need to be configured.
System.ServiceModel.Activities Namespace	The System.ServiceModel.Activities namespace contains classes that allow you to send messages to and receive messages from workflows. These activities are used when writing workflow services and allow you to define how messages are sent and received in a workflow.
System.ServiceModel.Activities.Activation Namespace	The System.ServiceModel.Activities.Activation namespace contains the System.ServiceModel.Activities.Activation.WorkflowServiceHostFactory that provides instances of System.ServiceModel.Activities.WorkflowServiceHost in managed hosting environments where the host instance is created dynamically in response to incoming messages.
System.ServiceModel.Activities.Configuration Namespace	The System.ServiceModel.Activities.Configuration namespace contains classes used to configure workflow services. These classes allow you to apply service and endpoint behaviors and configure tracking.
System.ServiceModel.Activities.Description Namespace	The System.ServiceModel.Activities.Description namespace contains classes that enable you to control various behaviors related to workflow services.
System.ServiceModel.Activities.Presentation Namespace	Provides classes related to service model presentation activities.
System.ServiceModel.Activities.Presentation.Factories Namespace	Contains factories that create Receive/SendReply and Send/ReceiveReply activity pairs.
System.ServiceModel.Activities.Tracking Namespace	The System.ServiceModel.Activities.Tracking namespace contains classes used to create tracking records for a workflow service instance. Tracking records are created by created by the workflow runtime during the execution of a workflow instance, and are sent to registered tracking participants.
System.ServiceModel.Activities.Tracking.Configuration Namespace	The System.ServiceModel.Activities.Tracking.Configuration namespace contains classes used to configure tracking for service hosted workflows. These classes allow you to specify the tracking information you want your workflow service to generate.
System.ServiceModel.Channels Namespace	Provides classes related to service model channels.
System.ServiceModel.ComIntegration Namespace	Defines classes needed for integration with COM applications.
System.ServiceModel.Configuration Namespace	Provides classes related to service model configuration.
System.ServiceModel.Description Namespace	Provides classes related to the service model description.
System.ServiceModel.Diagnostics Namespace	The System.ServiceModel.Diagnostics namespace contains an enumeration that is used to configure performance counters for diagnostics purposes.
System.ServiceModel.Discovery Namespace	The System.ServiceModel.Discovery namespace contains the classes required for the creation and use of discoverable services. These classes implement the WS-Discovery protocol for Windows Communication Foundation (WCF).
System.ServiceModel.Discovery.Configuration Namespace	The System.ServiceModel.Discovery.Configuration namespace contains classes that allow you to configure discovery settings in a configuration file.
System.ServiceModel.Discovery.Version11 Namespace	The System.ServiceModel.Discovery.Version11 namespace contains the classes required for the creation and use of discoverable services. These classes implement the WS-Discovery version 1.1 protocol for Windows Communication Foundation (WCF).
System.ServiceModel.Discovery.VersionApril2005 Namespace	The System.ServiceModel.Discovery.VersionApril2005 namespace contains the classes required for the creation and use of discoverable services. These classes implement the April 2005 version of the WS-Discovery protocol for Windows Communication Foundation (WCF).
System.ServiceModel.Discovery.VersionCD1 Namespace	The System.ServiceModel.Discovery.VersionCD1 namespace contains the classes required for the creation and use of discoverable services. These classes implement the Committee Draft 1 version of the WS-Discovery protocol for Windows Communication Foundation (WCF).
System.ServiceModel.Dispatcher Namespace	Provides classes related to dispatching the service model.
System.ServiceModel.MsmqIntegration Namespace	The System.ServiceModel.MsmqIntegration namespace contains classes that relate to Microsoft Message Queuing Service (MSMQ) integration, which allows communication between MSMQ applications and Windows Communication Foundation (WCF) applications.
System.ServiceModel.PeerResolvers Namespace	The System.ServiceModel.PeerResolvers namespace contains classes that allow developers to customize and extend the Peer Name Resolution Protocol service.
System.ServiceModel.Persistence Namespace	The System.ServiceModel.Persistence namespace contains classes that allow workflow services (WCF services implemented as workflows) to be persisted into the persistence store.
System.ServiceModel.Routing Namespace	This namespace contains classes that are used to configure and manage the WCF System.ServiceModel.Routing.RoutingService.
System.ServiceModel.Routing.Configuration Namespace	This namespace contains configuration classes that are used by the Windows Communication Foundation (WCF) infrastructure to convert XML into Common Language Runtime (CLR) types. You can also manipulate these classes directly for extensibility purposes.
System.ServiceModel.Security Namespace	The System.ServiceModel.Security namespace deals with general security-related topics, for example, System.ServiceModel.Security.SecurityAlgorithmSuite.
System.ServiceModel.Security.Tokens Namespace	Deals with security tokens and certificates.
System.ServiceModel.Syndication Namespace	Provides classes related to service model syndication.
System.ServiceModel.Web Namespace	Provides classes related to using the service model on the web.
System.ServiceModel.XamlIntegration Namespace	Provides utility classes to enable the serialization of Windows Communication Foundation (WCF) entities to XAML.
System.ServiceProcess Namespace	The System.ServiceProcess namespace provides classes that allow you to implement, install, and control Windows service applications. Services are long-running executables that run without a user interface. Implementing a service involves inheriting from the System.ServiceProcess.ServiceBase class and defining specific behavior to process when start, stop, pause, and continue commands are passed in, as well as custom behavior and actions to take when the system shuts down.
System.ServiceProcess.Design Namespace	The System.ServiceProcess.Design namespace contains classes that can be used to extend design-time support for Windows services applications.
System.Speech.AudioFormat Namespace	The System.Speech.AudioFormat namespace consists of a single class, System.Speech.AudioFormat.SpeechAudioFormatInfo, which contains information about the format of the audio that is being input to the speech recognition engine, or being output from the speech synthesis engine.
System.Speech.Recognition Namespace	The System.Speech.Recognition namespace contains Windows Desktop Speech technology types for implementing speech recognition.
System.Speech.Recognition.SrgsGrammar Namespace	With the members of the System.Speech.Recognition.SrgsGrammar namespace, you can programmatically create grammars that comply with the W3C Speech Recognition Grammar Specification Version 1.0 (SRGS).
System.Speech.Synthesis Namespace	The N:System.Speech.Synthesis namespace contains classes for initializing and configuring a speech synthesis engine, for creating prompts, for generating speech, for responding to events, and for modifying voice characteristics.
System.Speech.Synthesis.TtsEngine Namespace	Supports the creation of Speech Synthesis Markup Language (SSML) based custom engines for rendering text to speech (TTS).
System.Text Namespace	The System.Text namespace contains classes that represent ASCII and Unicode character encodings; abstract base classes for converting blocks of characters to and from blocks of bytes; and a helper class that manipulates and formats System.String objects without creating intermediate instances of System.String.
System.Text.RegularExpressions Namespace	The System.Text.RegularExpressions namespace contains classes that provide access to the .NET Framework regular expression engine. The namespace provides regular expression functionality that may be used from any platform or language that runs within the Microsoft .NET Framework. In addition to the types contained in this namespace, the System.Configuration.RegexStringValidator class enables you to determine whether a particular string conforms to a regular expression pattern.
System.Threading Namespace	The System.Threading namespace provides classes and interfaces that enable multithreaded programming. In addition to classes for synchronizing thread activities and access to data (System.Threading.Mutex, System.Threading.Monitor, System.Threading.Interlocked, System.Threading.AutoResetEvent, and so on), this namespace includes a System.Threading.ThreadPool class that allows you to use a pool of system-supplied threads, and a System.Threading.Timer class that executes callback methods on thread pool threads.
System.Threading.Tasks Namespace	The System.Threading.Tasks namespace provides types that simplify the work of writing concurrent and asynchronous code. The main types are System.Threading.Tasks.Task which represents an asynchronous operation that can be waited on and cancelled, and System.Threading.Tasks.Task`1, which is a task that can return a value. The System.Threading.Tasks.TaskFactory class provides static methods for creating and starting tasks, and the System.Threading.Tasks.TaskScheduler class provides the default thread scheduling infrastructure.
System.Timers Namespace	The System.Timers namespace provides the System.Timers.Timer component, which allows you to raise an event on a specified interval.
System.Transactions Namespace	The System.Transactions namespace contains classes that allow you to write your own transactional application and resource manager. Specifically, you can create and participate in a transaction (local or distributed) with one or multiple participants.
System.Transactions.Configuration Namespace	The System.Transactions.Configuration namespace contains classes that describe configuration options used by System.Transactions classes.
System.Web Namespace	The System.Web namespace supplies classes and interfaces that enable browser-server communication. This namespace includes the System.Web.HttpRequest class, which provides extensive information about the current HTTP request; the System.Web.HttpResponse class, which manages HTTP output to the client; and the System.Web.HttpServerUtility class, which provides access to server-side utilities and processes. System.Web also includes classes for cookie manipulation, file transfer, exception information, and output cache control.
System.Web.ApplicationServices Namespace	The System.Web.ApplicationServices namespace provides classes that enable you to access ASP.NET forms authentication, roles, and profiles application services as Windows Communication Foundation (WCF) services.
System.Web.Caching Namespace	The System.Web.Caching namespace provides classes for caching frequently used data on the server.
System.Web.ClientServices Namespace	The System.Web.ClientServices namespace provides classes that support access in Windows-based applications to the Microsoft Ajax authentication, roles, and profiles services.
System.Web.ClientServices.Providers Namespace	The System.Web.ClientServices.Providers namespace contains client service providers and other classes that support access in Windows-based applications to the Microsoft Ajax authentication, roles, and profile services.
System.Web.Compilation Namespace	The System.Web.Compilation namespace contains classes for generating and compiling custom file types within the ASP.NET build environment.
System.Web.Configuration Namespace	The System.Web.Configuration namespace contains classes that are used to set up ASP.NET configuration.
System.Web.Configuration.Internal Namespace	The System.Web.Configuration.Internal namespace contains configuration types intended for internal use only.
System.Web.DynamicData Namespace	The System.Web.DynamicData namespace contains classes that provide the core functionality for ASP.NET Dynamic Data. It also provides extensibility features that let you customize dynamic data behavior.
System.Web.DynamicData.Design Namespace	The System.Web.DynamicData.Design namespace contains classes that provide design-time support for the classes in the System.Web.DynamicData namespace.
System.Web.DynamicData.ModelProviders Namespace	The System.Web.DynamicData.ModelProviders namespace contains classes that define the core functionality for ASP.NET Dynamic Data providers.
System.Web.Globalization Namespace	The System.Web.Globalization namespace provides classes and interfaces for localization providers.
System.Web.Handlers Namespace	The System.Web.Handlers namespace contains HTTP handler classes that process HTTP requests to a Web server.
System.Web.Hosting Namespace	The System.Web.Hosting namespace provides the functionality for hosting ASP.NET applications from managed applications outside Microsoft Internet Information Services (IIS).
System.Web.Instrumentation Namespace	The System.Web.Instrumentation namespace contains types that provide information about current page execution, that include execution listeners and instrumentation, and that include methods that are called before and after view engine renders output.
